Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Cornell/adjust/1,2.5440731381432104e-8,2.538817213350277e-8,2.5535950454009033e-8,2.373690261954022e-10,1.4233104554619275e-10,3.5980614978573637e-10
adjust/DeBruijn.Cornell/adjust/2,9.874935586492378e-8,9.849799697353808e-8,9.916884086436232e-8,1.0672276273128132e-9,7.321039238403914e-10,1.7877365676116612e-9
adjust/DeBruijn.Cornell/adjust/3,2.2874061681641777e-7,2.2823760915935577e-7,2.2976271026391987e-7,2.340368489005374e-9,1.2075343526015678e-9,3.748489362305674e-9
adjust/DeBruijn.Cornell/adjust/4,4.377717470174713e-7,4.3629941120482865e-7,4.394050693844075e-7,5.107964241288531e-9,4.1050691382691155e-9,6.8167645003284884e-9
adjust/DeBruijn.Cornell/adjust/5,7.407124674699796e-7,7.380210291944674e-7,7.447242621383641e-7,1.0867307151187626e-8,8.356507110797607e-9,1.443731457663244e-8
adjust/DeBruijn.Cornell/adjust/6,1.0608156733782661e-6,1.0591169177364179e-6,1.06526791719952e-6,8.231888121113793e-9,4.089053202445115e-9,1.4271764258474492e-8
adjust/DeBruijn.Cornell/adjust/7,1.5030393041823013e-6,1.500041291812836e-6,1.5080625436938068e-6,1.244365812963158e-8,8.257487148228533e-9,1.726882553790537e-8
adjust/DeBruijn.Cornell/adjust/8,2.0858895395117914e-6,2.0778633098644846e-6,2.1025458265597602e-6,3.52810354983286e-8,2.052837126679028e-8,6.021476934850998e-8
adjust/DeBruijn.Cornell/adjust/9,2.816251526446651e-6,2.812775644336523e-6,2.825654293450057e-6,1.7250940706549804e-8,7.734663050727794e-9,3.289127996123191e-8
adjust/DeBruijn.Cornell/adjust/10,3.6795090653627993e-6,3.6702194943370575e-6,3.702644424644793e-6,4.529371455974353e-8,1.9823518012999446e-8,8.561037788302444e-8
adjust/DeBruijn.Cornell/adjust/11,4.5862632459184675e-6,4.577264001945707e-6,4.602419173192045e-6,3.986518930992906e-8,2.2939789802379992e-8,5.992967339527735e-8
adjust/DeBruijn.Cornell/adjust/12,5.734538429118238e-6,5.727531203460177e-6,5.7419970494765e-6,2.5374441436102766e-8,1.994423393576906e-8,3.179141687194335e-8
adjust/DeBruijn.Cornell/adjust/13,7.015997200291322e-6,6.994212383526968e-6,7.0606527870213435e-6,9.831495632294499e-8,5.333803064873608e-8,1.6969045636515727e-7
adjust/DeBruijn.Cornell/adjust/14,8.389492925431474e-6,8.375059113904168e-6,8.412118143465803e-6,6.400306261440118e-8,4.4225954866770774e-8,8.706291501936651e-8
adjust/DeBruijn.Cornell/adjust/15,1.0089908172275991e-5,1.0081860145508778e-5,1.011036509737568e-5,4.051997028262891e-8,1.9581001199032942e-8,8.57849195730529e-8
adjust/DeBruijn.Cornell/adjust/16,1.2079732427275604e-5,1.202672093076081e-5,1.215715620306115e-5,2.1310871039192605e-7,1.6055503070414476e-7,3.1297032601636494e-7
