Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.List/con/1,3.04425393818275e-8,3.038152108985154e-8,3.052203571479404e-8,2.3203589141957069e-10,1.687459425339429e-10,3.700474006614155e-10
con/DeBruijn.List/con/2,4.074046279106768e-8,4.067779257613366e-8,4.081546356544163e-8,2.2633922785099612e-10,1.8377051502991705e-10,2.9237845489678525e-10
con/DeBruijn.List/con/3,4.9750681661719305e-8,4.9684633239763254e-8,4.98269854537009e-8,2.290932533881127e-10,1.8494686156245974e-10,3.172797607830432e-10
con/DeBruijn.List/con/4,5.956436244302284e-8,5.945120149242395e-8,5.972282160950578e-8,4.5254891049443647e-10,3.3140510916026866e-10,6.303553134637579e-10
con/DeBruijn.List/con/5,6.910282754669182e-8,6.876732381206595e-8,7.000510674541132e-8,1.7681023300342339e-9,6.73002841433415e-10,3.4110942027518394e-9
con/DeBruijn.List/con/6,7.692667110749828e-8,7.68550138499537e-8,7.704999334600284e-8,3.0344446538924563e-10,1.9123305762073292e-10,4.854319256007814e-10
con/DeBruijn.List/con/7,8.79652214949819e-8,8.782123714427632e-8,8.822370617401658e-8,6.301972454122832e-10,3.708804995785946e-10,9.699989996020437e-10
con/DeBruijn.List/con/8,9.909433367746511e-8,9.895488301053837e-8,9.926496154994465e-8,5.196728185915342e-10,4.3417698882909247e-10,6.466744539701745e-10
con/DeBruijn.List/con/9,1.0641485719104238e-7,1.0628457041571079e-7,1.0658768122693209e-7,5.087931333531954e-10,3.9940027994043637e-10,6.768342889650984e-10
con/DeBruijn.List/con/10,1.167313136437721e-7,1.1655418682267167e-7,1.1698331716029506e-7,7.13117737664863e-10,5.558711404028304e-10,9.302169983616192e-10
con/DeBruijn.List/con/11,1.2800166093095937e-7,1.2697204605126038e-7,1.2967593891989185e-7,4.302932314480691e-9,2.930979930340401e-9,6.583803857414114e-9
con/DeBruijn.List/con/12,1.3703209037022237e-7,1.3634460038643506e-7,1.3796781321087498e-7,2.739019152106957e-9,2.2227344718826826e-9,4.198498551894926e-9
con/DeBruijn.List/con/13,1.457210807881621e-7,1.4544514918220573e-7,1.4611111146717756e-7,1.1213824703802106e-9,8.058201583317882e-10,1.5891826112803198e-9
con/DeBruijn.List/con/14,1.5397207401363233e-7,1.5379843626792285e-7,1.5421859759315018e-7,7.237701536146699e-10,5.439213312495751e-10,1.1069855948754008e-9
con/DeBruijn.List/con/15,1.6299152884300678e-7,1.6279792673018054e-7,1.632230198869706e-7,6.838406895234094e-10,5.621296371355795e-10,8.045074109956635e-10
con/DeBruijn.List/con/16,1.7776996316478182e-7,1.7744809369430137e-7,1.78519345405943e-7,1.5366159953068942e-9,8.134417747310083e-10,3.0314163102324127e-9
con/DeBruijn.List/con/17,1.9164361960653728e-7,1.9126189159810456e-7,1.9214521842357103e-7,1.4025210303241171e-9,1.0336299424182257e-9,1.934241935872804e-9
con/DeBruijn.List/con/18,2.0194279245147458e-7,2.0159796238319924e-7,2.023486336783986e-7,1.215011241905246e-9,9.771693943439665e-10,1.5923713982517498e-9
con/DeBruijn.List/con/19,2.235601560343577e-7,2.2290662331857384e-7,2.2457279658140962e-7,2.60838820524677e-9,1.903352654970321e-9,3.611183470542535e-9
con/DeBruijn.List/con/20,2.2805277924250112e-7,2.2770298857601983e-7,2.2859173952692707e-7,1.479823889660771e-9,1.086014457289385e-9,2.103867850956562e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.List/con/1,3.071278753360144e-8,3.0671059537898724e-8,3.0769541382989156e-8,1.6005959546796636e-10,1.2407641087302948e-10,2.30062607532277e-10
con/DeBruijn.List/con/2,4.126525730687897e-8,4.120552289155463e-8,4.135137134589752e-8,2.435031053636688e-10,1.9500029817886075e-10,3.2315444399525314e-10
con/DeBruijn.List/con/3,4.982975076142942e-8,4.979154820549312e-8,4.98840308523526e-8,1.4743464465831308e-10,1.1551080261334659e-10,1.98311887085261e-10
con/DeBruijn.List/con/4,5.9294677536204356e-8,5.921297470369454e-8,5.9459357236763974e-8,3.710981449325523e-10,2.4499630695935183e-10,6.438134557639201e-10
con/DeBruijn.List/con/5,6.869547086010332e-8,6.85672475475817e-8,6.88721794202898e-8,5.005660888220825e-10,3.938097059770911e-10,6.425362445280545e-10
con/DeBruijn.List/con/6,7.776831182254558e-8,7.75797035160063e-8,7.824515345431168e-8,8.93549266803025e-10,2.2933649352064275e-10,1.5808251401692071e-9
con/DeBruijn.List/con/7,8.805122659392934e-8,8.794843430026071e-8,8.823769098503742e-8,4.4660839703949456e-10,2.854058088613449e-10,6.917903720789305e-10
con/DeBruijn.List/con/8,9.961698949824552e-8,9.940731031037072e-8,1.0022425667048666e-7,1.0942288856821917e-9,5.548092201286431e-10,2.186131117710278e-9
con/DeBruijn.List/con/9,1.0837421702444087e-7,1.0826432620762355e-7,1.0849444311825743e-7,3.8420653721980517e-10,3.259768384000366e-10,4.474878162598636e-10
con/DeBruijn.List/con/10,1.1731819513121091e-7,1.1713660663438313e-7,1.1766258521087153e-7,8.530525216239098e-10,5.365511910247797e-10,1.4285705313747122e-9
con/DeBruijn.List/con/11,1.2702679278596778e-7,1.2670482459296077e-7,1.27559139674426e-7,1.3964334802502233e-9,9.60591329347126e-10,2.055191623189771e-9
con/DeBruijn.List/con/12,1.363625515169858e-7,1.3596896570747341e-7,1.370977514131629e-7,1.7924919070114933e-9,1.1534875414198058e-9,2.704889269293642e-9
con/DeBruijn.List/con/13,1.4656265783318866e-7,1.4633689896290356e-7,1.4696293085922572e-7,9.460967282039899e-10,6.838342820364652e-10,1.284297767842652e-9
con/DeBruijn.List/con/14,1.5546737033079272e-7,1.551945253510847e-7,1.5582116597126538e-7,1.0672092680579531e-9,7.806364513501366e-10,1.485668287665325e-9
con/DeBruijn.List/con/15,1.648595320527756e-7,1.646782169591119e-7,1.651224816346499e-7,7.223348600711357e-10,5.016033505565498e-10,1.0890044455429123e-9
con/DeBruijn.List/con/16,1.7923009089723204e-7,1.7896802694112627e-7,1.795266845483957e-7,9.806442799768303e-10,7.292176338606835e-10,1.3702909736144364e-9
con/DeBruijn.List/con/17,1.9494201276234788e-7,1.9472382764488334e-7,1.953200622063138e-7,9.491649401718422e-10,6.679657517749973e-10,1.5812363912210632e-9
con/DeBruijn.List/con/18,2.0617292915828837e-7,2.047396145509856e-7,2.1025174386355964e-7,7.330135880337674e-9,2.341108785128966e-9,1.5473257929620117e-8
con/DeBruijn.List/con/19,2.194225173844926e-7,2.1908191262993205e-7,2.199815722041339e-7,1.3897293234778966e-9,9.816831165070894e-10,2.0135868088635493e-9
con/DeBruijn.List/con/20,2.320127593071109e-7,2.3155878314132747e-7,2.3271376448851023e-7,1.872271826130616e-9,1.2822942426455848e-9,3.0100890512132142e-9
