Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lennart/con/1,2.2371971127445286e-8,2.2337562823840855e-8,2.242672965988902e-8,1.4303407112603107e-10,1.0073509810172871e-10,1.9205045984384208e-10
con/DeBruijn.Lennart/con/2,2.7834370500351105e-8,2.7781357893459426e-8,2.7908998340559812e-8,2.1300766336470248e-10,1.758854204876621e-10,2.588677204665692e-10
con/DeBruijn.Lennart/con/3,3.483746030150842e-8,3.476329737217961e-8,3.495013113716171e-8,3.0598149705043883e-10,1.9027309863539088e-10,5.55820139451876e-10
con/DeBruijn.Lennart/con/4,3.918076619875979e-8,3.912756223800923e-8,3.924770157868809e-8,1.9289521390246022e-10,1.5158932667472422e-10,2.6271237492723163e-10
con/DeBruijn.Lennart/con/5,4.432446443214633e-8,4.4244716672448894e-8,4.4413960967821365e-8,2.916568820794261e-10,2.423926779021888e-10,3.6032355366819927e-10
con/DeBruijn.Lennart/con/6,4.9598182124525864e-8,4.9494101806425985e-8,4.9810523999213135e-8,4.763767817638168e-10,2.7118435027233436e-10,8.76070208549969e-10
con/DeBruijn.Lennart/con/7,5.4369959706727994e-8,5.424651285502046e-8,5.4808299546051346e-8,6.853693924125611e-10,3.1621555179578383e-10,1.3277305796180457e-9
con/DeBruijn.Lennart/con/8,5.969623083651208e-8,5.95723072119136e-8,5.986962420628052e-8,4.801849686858792e-10,3.503853901043639e-10,7.378223513399524e-10
con/DeBruijn.Lennart/con/9,6.51053237444755e-8,6.498146563896609e-8,6.528200236575958e-8,4.830678970057147e-10,3.2501044875164206e-10,7.95288550279708e-10
con/DeBruijn.Lennart/con/10,7.061431133043417e-8,7.050723335300255e-8,7.076956712424544e-8,4.3461563056368866e-10,3.564862425986675e-10,5.478547448591048e-10
con/DeBruijn.Lennart/con/11,7.54152738504183e-8,7.525763400952587e-8,7.559819876803923e-8,5.912367635294553e-10,4.3738772953050257e-10,7.816954914949446e-10
con/DeBruijn.Lennart/con/12,8.057235965849484e-8,8.038182479277693e-8,8.089609293152515e-8,8.207323457345315e-10,5.864393966651028e-10,1.169160122172824e-9
con/DeBruijn.Lennart/con/13,8.48372592234384e-8,8.473982087191858e-8,8.502005561165253e-8,4.3031201181044984e-10,2.979324768522065e-10,6.279429772676489e-10
con/DeBruijn.Lennart/con/14,9.080791828340164e-8,9.070973145934378e-8,9.093132111228307e-8,3.642398511263923e-10,2.707954362741875e-10,5.529603932986016e-10
con/DeBruijn.Lennart/con/15,9.692030686939411e-8,9.668197283958314e-8,9.732942415414413e-8,1.028276153876724e-9,6.825627480987824e-10,1.6477035113697384e-9
con/DeBruijn.Lennart/con/16,1.0122075545622032e-7,1.0106300530798485e-7,1.0141577433996473e-7,5.824469972885642e-10,4.539445088957767e-10,7.502924318951907e-10
con/DeBruijn.Lennart/con/17,1.0672724821571542e-7,1.0652168799119099e-7,1.0699878557382978e-7,7.780060143202677e-10,6.481061103417132e-10,9.162450225769713e-10
con/DeBruijn.Lennart/con/18,1.1254819288240198e-7,1.1209544292201403e-7,1.1339398355920786e-7,2.032890216895757e-9,1.305507067590722e-9,3.6282667150047198e-9
con/DeBruijn.Lennart/con/19,1.1634134686847886e-7,1.16145370280223e-7,1.166650113131699e-7,8.411836188373247e-10,5.431754952640093e-10,1.31874848057726e-9
con/DeBruijn.Lennart/con/20,1.2842398910448596e-7,1.282681888365202e-7,1.2873043779973734e-7,6.851948665258349e-10,4.1750020703465657e-10,1.2204724065044237e-9
