Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.List/ids/1,3.046472705341756e-8,3.042842399056868e-8,3.05506507212705e-8,1.7427936562240283e-10,1.178226170669823e-10,3.0014572151762967e-10
ids/DeBruijn.List/ids/2,4.64809589221704e-8,4.64044796173843e-8,4.656805665122219e-8,2.7484659864704565e-10,2.1370126452466624e-10,4.106137858937874e-10
ids/DeBruijn.List/ids/3,7.553620097932693e-8,7.537821114350584e-8,7.577605480433793e-8,6.091012555403285e-10,4.099399935189135e-10,9.244279628014734e-10
ids/DeBruijn.List/ids/4,8.696637250806644e-8,8.683661957139111e-8,8.723094466014748e-8,5.780260077838836e-10,3.5747446298219117e-10,9.800382627370006e-10
ids/DeBruijn.List/ids/5,1.0260467758099674e-7,1.0243196721262676e-7,1.028704693828708e-7,7.418465545915456e-10,5.33618121183785e-10,1.0825180441600465e-9
ids/DeBruijn.List/ids/6,1.1973385516088066e-7,1.1955350930240382e-7,1.1997231462178712e-7,7.06139230789911e-10,5.491159286104584e-10,9.124245576764873e-10
ids/DeBruijn.List/ids/7,1.3683053002071822e-7,1.366182315701232e-7,1.3716423224478587e-7,8.703480431298328e-10,6.123106402792615e-10,1.321458530210938e-9
ids/DeBruijn.List/ids/8,1.5288801074785798e-7,1.5259721960714043e-7,1.535979287772013e-7,1.4158784567583733e-9,7.057192927352131e-10,2.507238942280822e-9
ids/DeBruijn.List/ids/9,1.6997575142547607e-7,1.6956185582414672e-7,1.7148538658774854e-7,2.2361755573082435e-9,8.642141104480078e-10,4.459883242090032e-9
ids/DeBruijn.List/ids/10,1.8584329421057457e-7,1.854382825060015e-7,1.8654589839299534e-7,1.804910013462402e-9,1.0053371174213566e-9,2.798982940677637e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.List/ids/1,3.084804795796396e-8,3.0778561848563506e-8,3.107347949149314e-8,3.611725925334666e-10,1.509351789737379e-10,7.629100445509834e-10
ids/DeBruijn.List/ids/2,5.4509363286207366e-8,5.4029767144310476e-8,5.500340965178521e-8,1.6622058373594472e-9,1.333270707284008e-9,2.0623981283388244e-9
ids/DeBruijn.List/ids/3,8.064152447857684e-8,8.051672621918914e-8,8.082652350129127e-8,5.246934864690562e-10,3.482644237948134e-10,8.629801927804815e-10
ids/DeBruijn.List/ids/4,9.428219746612931e-8,9.393075033862088e-8,9.469512364547141e-8,1.2172595239841484e-9,1.0328597187315618e-9,1.5825269657786792e-9
ids/DeBruijn.List/ids/5,1.1302794672265606e-7,1.1243163446945505e-7,1.1353222775836593e-7,1.800920825907839e-9,1.462494608502807e-9,2.3208321613543216e-9
ids/DeBruijn.List/ids/6,1.3058023648162543e-7,1.3018883075169734e-7,1.3097080989065105e-7,1.301857388079521e-9,1.1224529969749229e-9,1.544780663711159e-9
ids/DeBruijn.List/ids/7,1.4465559445786483e-7,1.4426554264767253e-7,1.451563383152819e-7,1.4603230302458216e-9,1.2044388669049521e-9,1.923296228434528e-9
ids/DeBruijn.List/ids/8,1.6302326768522017e-7,1.6253186818881152e-7,1.6355522798617827e-7,1.6966291222471143e-9,1.3871455011571547e-9,2.1441472951431353e-9
ids/DeBruijn.List/ids/9,1.7959996664048222e-7,1.791081567460325e-7,1.8016166279075877e-7,1.6712555218332452e-9,1.2690147167607827e-9,2.3803393770238718e-9
ids/DeBruijn.List/ids/10,1.9688920240693072e-7,1.9643855826829474e-7,1.9738218774782716e-7,1.5589575250698089e-9,1.3144347704281461e-9,1.9327662896555566e-9
