Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lennart/adjustb/1,4.300610396121042e-8,4.290788167886295e-8,4.316080092644711e-8,4.196096472229041e-10,2.6179831187487257e-10,6.90249372091154e-10
adjustb/DeBruijn.Lennart/adjustb/2,1.4935527831841907e-7,1.4752429502134634e-7,1.5104349843932363e-7,5.965077242938687e-9,5.055441671480145e-9,7.132176880542878e-9
adjustb/DeBruijn.Lennart/adjustb/3,2.8208884513097776e-7,2.8098238964902206e-7,2.830411226367533e-7,3.4159724141775883e-9,2.8999451235288587e-9,4.686308310589285e-9
adjustb/DeBruijn.Lennart/adjustb/4,5.398648677190749e-7,5.346233896302769e-7,5.44553821498274e-7,1.7190876331424777e-8,1.5075132915695334e-8,2.157301953766353e-8
adjustb/DeBruijn.Lennart/adjustb/5,7.461054909006486e-7,7.347151734514044e-7,7.581717469448455e-7,3.8688405322672644e-8,3.263899349018711e-8,4.7003870768940943e-8
adjustb/DeBruijn.Lennart/adjustb/6,1.1097908536488246e-6,1.085354150314166e-6,1.1308746095235953e-6,7.93368640112375e-8,6.671465940669627e-8,9.744643530010583e-8
adjustb/DeBruijn.Lennart/adjustb/7,1.5018470487673932e-6,1.483462838806408e-6,1.5180249905956034e-6,6.027736510456805e-8,5.286785158341665e-8,6.836507551228047e-8
adjustb/DeBruijn.Lennart/adjustb/8,1.9770647023269113e-6,1.946424822747636e-6,2.0130356854110657e-6,1.1539744895636528e-7,9.572823889673517e-8,1.450680999001572e-7
adjustb/DeBruijn.Lennart/adjustb/9,2.840302932076407e-6,2.7945466192693174e-6,2.8723041805192608e-6,1.2995948912401256e-7,9.92801908003245e-8,1.684634264903997e-7
adjustb/DeBruijn.Lennart/adjustb/10,3.462443320270397e-6,3.4230871407560233e-6,3.503423962570313e-6,1.4341573781797256e-7,1.2443208947706327e-7,1.6976962999004e-7
adjustb/DeBruijn.Lennart/adjustb/11,4.165549805533734e-6,4.103801636393554e-6,4.21631633329573e-6,1.9534731912606074e-7,1.609331004867143e-7,2.376421887791388e-7
adjustb/DeBruijn.Lennart/adjustb/12,5.272186640233564e-6,5.206515322894398e-6,5.3402957821675e-6,2.1590179672152199e-7,1.6817990841840026e-7,2.9391861401221986e-7
adjustb/DeBruijn.Lennart/adjustb/13,6.200309040137295e-6,6.138919402777513e-6,6.276827899809907e-6,2.3571312332322617e-7,1.9247990783521956e-7,2.794549396719724e-7
adjustb/DeBruijn.Lennart/adjustb/14,7.662415861774545e-6,7.568157336900074e-6,7.772505510306598e-6,3.344113244356433e-7,2.65411026710264e-7,4.4777974925485564e-7
