Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.CPDT/adjust/1,2.3683428350606993e-8,2.3640405938738583e-8,2.3766510213814244e-8,1.9506222086428267e-10,9.31361769616161e-11,3.223214183313184e-10
adjust/DeBruijn.CPDT/adjust/2,9.241823401587519e-8,9.226544015256863e-8,9.269343924839633e-8,6.610549500213411e-10,4.5632420152592843e-10,1.0663154107270065e-9
adjust/DeBruijn.CPDT/adjust/3,2.3027566527178195e-7,2.2988827953499846e-7,2.309140127781869e-7,1.7466559920301973e-9,1.03830493978996e-9,2.945070217436793e-9
adjust/DeBruijn.CPDT/adjust/4,4.3050770311721955e-7,4.2983588315056226e-7,4.3148353721181707e-7,2.5746434695764257e-9,1.9521227061965594e-9,3.968411797622832e-9
adjust/DeBruijn.CPDT/adjust/5,7.28670042872797e-7,7.275022617902132e-7,7.301572170031079e-7,4.376116717523831e-9,3.6658725818467368e-9,5.184522716982219e-9
adjust/DeBruijn.CPDT/adjust/6,1.1028706142615659e-6,1.0964877895368811e-6,1.1093311690584855e-6,2.0892739843869802e-8,1.7207690742965862e-8,2.5947937505733966e-8
adjust/DeBruijn.CPDT/adjust/7,1.5156538183894996e-6,1.513279463962949e-6,1.5193275047455339e-6,9.869734414407942e-9,6.649282836971452e-9,1.6031759902998403e-8
adjust/DeBruijn.CPDT/adjust/8,2.1641393699408238e-6,2.1560561087757145e-6,2.1751530013083763e-6,3.170518561408506e-8,2.1805017733346946e-8,4.798897072774441e-8
adjust/DeBruijn.CPDT/adjust/9,2.9265547131947528e-6,2.8962716621988584e-6,2.9861331717581303e-6,1.3544264687374433e-7,8.561173076743371e-8,2.190344272975912e-7
adjust/DeBruijn.CPDT/adjust/10,3.7322843821332613e-6,3.7259900901835146e-6,3.7401322445251728e-6,2.3437855000783427e-8,1.7720166803112955e-8,2.9028451505467072e-8
adjust/DeBruijn.CPDT/adjust/11,4.767249833210707e-6,4.751066138045067e-6,4.803005648490264e-6,8.093944849078594e-8,4.100432901894521e-8,1.2472815772222163e-7
adjust/DeBruijn.CPDT/adjust/12,5.974153812105328e-6,5.939165320189257e-6,6.033958785995904e-6,1.5352096605321392e-7,9.520716726717333e-8,2.3383751380859963e-7
adjust/DeBruijn.CPDT/adjust/13,7.932081591885901e-6,7.797811956038766e-6,8.108025057114387e-6,5.100622405851049e-7,4.2816729324209147e-7,6.254614961341829e-7
adjust/DeBruijn.CPDT/adjust/14,9.191353761689592e-6,9.092892480853998e-6,9.324855195956669e-6,3.753046141132945e-7,2.9925522547872374e-7,5.075228399626562e-7
adjust/DeBruijn.CPDT/adjust/15,1.0599937432773058e-5,1.056223322510807e-5,1.0673843442716493e-5,1.7733346312372505e-7,9.258567821564251e-8,3.0667843862428487e-7
adjust/DeBruijn.CPDT/adjust/16,1.3135730077224245e-5,1.2997252427597442e-5,1.3319565650532614e-5,5.154892334219768e-7,4.1483812698418045e-7,7.134577405063775e-7
adjust/DeBruijn.CPDT/adjust/17,1.560750372811872e-5,1.545440767065838e-5,1.581677194791868e-5,6.10009881910878e-7,4.818748328938725e-7,7.909506278725452e-7
adjust/DeBruijn.CPDT/adjust/18,1.7175230977981666e-5,1.713274645466853e-5,1.723514144709705e-5,1.6440728120595954e-7,1.1072927183945e-7,2.25891742636698e-7
adjust/DeBruijn.CPDT/adjust/19,2.0293090980787916e-5,2.0143455971208345e-5,2.057461305863186e-5,6.567122949518972e-7,3.556490286315897e-7,1.1481344998777472e-6
adjust/DeBruijn.CPDT/adjust/20,2.2891455408979633e-5,2.2877037153509874e-5,2.290933025529549e-5,5.501884464086465e-8,4.5101378402929824e-8,6.824578626962183e-8
