Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.TAPL/adjust/1,3.5421324693380106e-8,3.537766287323317e-8,3.550648550698324e-8,1.8996106491828947e-10,1.179067083093746e-10,3.2974171868822576e-10
adjust/DeBruijn.TAPL/adjust/2,1.5013273480613195e-7,1.484629361974339e-7,1.520917746018752e-7,5.721786168711303e-9,4.897501891266633e-9,6.784614576832462e-9
adjust/DeBruijn.TAPL/adjust/3,3.232889172319317e-7,3.213073934131376e-7,3.256212466883467e-7,7.386810035895898e-9,6.315271584419626e-9,8.674046716626875e-9
adjust/DeBruijn.TAPL/adjust/4,6.189405829821402e-7,6.041168014823867e-7,6.321819353671022e-7,4.579995437160833e-8,3.7935440218405874e-8,5.467803783250807e-8
adjust/DeBruijn.TAPL/adjust/5,1.02885399712431e-6,1.0160642069957155e-6,1.0404199026872995e-6,3.966776881504462e-8,3.3425166868586624e-8,4.9608674329777025e-8
adjust/DeBruijn.TAPL/adjust/6,1.38333268774231e-6,1.3652660704985323e-6,1.4039357480847792e-6,6.635887076204546e-8,5.588454917031664e-8,7.938208618371084e-8
adjust/DeBruijn.TAPL/adjust/7,1.9756622693762133e-6,1.943248212913996e-6,2.0081560305898827e-6,1.1170042001281288e-7,9.162595455722642e-8,1.415384464602556e-7
adjust/DeBruijn.TAPL/adjust/8,2.668862065987432e-6,2.631224904328825e-6,2.701184763642446e-6,1.1722432297481936e-7,9.68667668486733e-8,1.4850086480716816e-7
adjust/DeBruijn.TAPL/adjust/9,3.3044389809216456e-6,3.2602683127106727e-6,3.3469487856415037e-6,1.4833095760698655e-7,1.2405149345563394e-7,1.821172027963757e-7
adjust/DeBruijn.TAPL/adjust/10,4.309211392383913e-6,4.2764160965034495e-6,4.338831692935763e-6,1.0499452579317918e-7,8.627387799985524e-8,1.3083496756464808e-7
adjust/DeBruijn.TAPL/adjust/11,5.350505990140318e-6,5.308454719223687e-6,5.3899561120297725e-6,1.334433253066209e-7,1.1235025800763978e-7,1.6747346990660712e-7
adjust/DeBruijn.TAPL/adjust/12,6.477240245677235e-6,6.435170921203351e-6,6.519375446457758e-6,1.512678613341152e-7,1.3001465735031037e-7,1.802427863728298e-7
adjust/DeBruijn.TAPL/adjust/13,7.960873966336145e-6,7.834824456765489e-6,8.06564403597661e-6,3.75190119947505e-7,2.9594024016059545e-7,4.508124934736473e-7
adjust/DeBruijn.TAPL/adjust/14,8.735546998102922e-6,8.673929841637318e-6,8.809214298801503e-6,2.3289639295411143e-7,1.8599712932450376e-7,2.7243085268327155e-7
adjust/DeBruijn.TAPL/adjust/15,1.1173105437006603e-5,1.1082204758312434e-5,1.1258691400626958e-5,3.059101663329217e-7,2.6342082526593154e-7,3.7453390980559927e-7
adjust/DeBruijn.TAPL/adjust/16,1.3872866452140696e-5,1.3809983969840409e-5,1.39455694236036e-5,2.191741773673495e-7,1.914700129731506e-7,2.5803119299139253e-7
adjust/DeBruijn.TAPL/adjust/17,1.5640750557137108e-5,1.552158446843338e-5,1.575509404882067e-5,3.892063654145037e-7,3.3729540969050005e-7,5.139832739195893e-7
adjust/DeBruijn.TAPL/adjust/18,1.7362657942380544e-5,1.7251804678517786e-5,1.7490225730955826e-5,4.171634608066324e-7,3.421916851865798e-7,5.186329485223428e-7
adjust/DeBruijn.TAPL/adjust/19,2.020080572226931e-5,2.004454889916314e-5,2.0338869294565538e-5,5.082827430323679e-7,4.230653297401036e-7,6.097671845030542e-7
adjust/DeBruijn.TAPL/adjust/20,2.2801457245942627e-5,2.2647321640051234e-5,2.2969408915319404e-5,5.571114431838659e-7,4.667898315627774e-7,6.73154197974337e-7
