Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lennart/ids/1,2.2588832592035922e-8,2.254769300116254e-8,2.264155177944315e-8,1.5065172276873236e-10,1.2032146421065914e-10,1.9561029686918316e-10
ids/DeBruijn.Lennart/ids/2,3.191330142909119e-8,3.1859438407989256e-8,3.197882605997547e-8,1.9450198552611564e-10,1.670943206659531e-10,2.380625486635746e-10
ids/DeBruijn.Lennart/ids/3,4.101972479429185e-8,4.095122591610112e-8,4.109638601881746e-8,2.6421038105986155e-10,2.130322099857888e-10,3.4242064058270004e-10
ids/DeBruijn.Lennart/ids/4,5.678767806840702e-8,5.668897596266962e-8,5.695983427619338e-8,4.2242193268567325e-10,2.9655443504660163e-10,6.980063843203154e-10
ids/DeBruijn.Lennart/ids/5,6.61023468375667e-8,6.577781844523446e-8,6.679930021153605e-8,1.5037860089168852e-9,8.286985037169189e-10,2.758028195201198e-9
ids/DeBruijn.Lennart/ids/6,7.42301138697974e-8,7.411086291472529e-8,7.437365737204837e-8,4.400997244466128e-10,3.282591773698492e-10,5.815969193382643e-10
ids/DeBruijn.Lennart/ids/7,8.378932918304085e-8,8.368113455093284e-8,8.394622649546159e-8,4.3692289234052867e-10,3.188677645708787e-10,5.765661273872485e-10
ids/DeBruijn.Lennart/ids/8,9.303075080524593e-8,9.284441730097865e-8,9.326986564761723e-8,7.139258035202868e-10,5.352836701343699e-10,9.8091109620487e-10
ids/DeBruijn.Lennart/ids/9,1.0224132978582907e-7,1.0203458027122634e-7,1.0248696006355582e-7,7.685846229153611e-10,6.682716933823672e-10,9.060006962395911e-10
ids/DeBruijn.Lennart/ids/10,1.1093832356914127e-7,1.108314393000637e-7,1.110681963636313e-7,3.924443092515104e-10,3.185659748541494e-10,5.207041327283564e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lennart/ids/1,2.31070852476932e-8,2.308557486964396e-8,2.3140655039006037e-8,8.922608387700648e-11,6.669401342472235e-11,1.2288013787858639e-10
ids/DeBruijn.Lennart/ids/2,3.239047492824679e-8,3.2321622186362285e-8,3.248135412523036e-8,2.607567893372201e-10,2.0638157509072052e-10,3.1950398992862013e-10
ids/DeBruijn.Lennart/ids/3,4.1698330181578215e-8,4.1643051193003356e-8,4.176773656935378e-8,2.072792407624141e-10,1.5551164677764337e-10,2.7954008768765153e-10
ids/DeBruijn.Lennart/ids/4,5.749282241184011e-8,5.740682105532697e-8,5.759985618717219e-8,3.3477288124977693e-10,2.6466433871186073e-10,5.017583892821246e-10
ids/DeBruijn.Lennart/ids/5,6.674486835971655e-8,6.658427054222659e-8,6.704933247672893e-8,6.838009417928235e-10,4.957223990176085e-10,1.0198418663213867e-9
ids/DeBruijn.Lennart/ids/6,7.484058088786271e-8,7.447659318456328e-8,7.589580603906573e-8,1.7850623759926566e-9,6.336722055606855e-10,3.5044920813927363e-9
ids/DeBruijn.Lennart/ids/7,8.357592428551924e-8,8.347020699310439e-8,8.38547969889863e-8,5.157142192435815e-10,2.8096565929762235e-10,9.479956134583198e-10
ids/DeBruijn.Lennart/ids/8,9.320045616347181e-8,9.308267269543766e-8,9.335139148782115e-8,4.5551761710206376e-10,3.5498078210823973e-10,6.147520151553707e-10
ids/DeBruijn.Lennart/ids/9,1.0254332904692415e-7,1.0237213395744961e-7,1.0279070610268133e-7,6.768412214997213e-10,5.108348180962697e-10,1.0545779425649215e-9
ids/DeBruijn.Lennart/ids/10,1.1193238187585154e-7,1.1169304362025388e-7,1.1223668371348469e-7,9.177804609175921e-10,7.232963622464622e-10,1.218286293995679e-9
