Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Bound/adjustb/1,9.46217245360518e-8,9.424733355168088e-8,9.545215251450496e-8,1.8135129103637055e-9,8.560559142084799e-10,3.3578402218633598e-9
adjustb/DeBruijn.Bound/adjustb/2,4.350689806078807e-7,4.3003718429886065e-7,4.4316770861131163e-7,2.016421849603848e-8,1.236996558612473e-8,3.0701956937594367e-8
adjustb/DeBruijn.Bound/adjustb/3,1.19810315716174e-6,1.1943975185788012e-6,1.2063765895567214e-6,1.790741316488491e-8,1.11101449609375e-8,3.136275968950631e-8
adjustb/DeBruijn.Bound/adjustb/4,2.685599874712599e-6,2.680756217368578e-6,2.695404860455241e-6,2.2561270421452022e-8,1.3268256489641198e-8,3.8689329185522416e-8
adjustb/DeBruijn.Bound/adjustb/5,5.127479114270352e-6,5.117804227322119e-6,5.149619006408071e-6,4.615996816011707e-8,3.2478602381075426e-8,6.932183708904548e-8
adjustb/DeBruijn.Bound/adjustb/6,8.992711305836983e-6,8.973765397899935e-6,9.030211794405908e-6,8.244925310776914e-8,5.16794008798999e-8,1.4614997375702448e-7
adjustb/DeBruijn.Bound/adjustb/7,1.423561056530021e-5,1.4156395013365336e-5,1.4370852578290776e-5,3.258079662526212e-7,2.1009733988471013e-7,5.715955375846042e-7
adjustb/DeBruijn.Bound/adjustb/8,2.1124973703741005e-5,2.1038181571146547e-5,2.1236835916518033e-5,3.251403629627647e-7,2.489170299412694e-7,4.2776104239770276e-7
adjustb/DeBruijn.Bound/adjustb/9,3.047356323876216e-5,3.0418680388619048e-5,3.0558813463899e-5,2.2461942213196615e-7,1.6440943435983033e-7,3.223152775341653e-7
adjustb/DeBruijn.Bound/adjustb/10,4.26490593392425e-5,4.2603872772942844e-5,4.272435353384271e-5,1.9779821648962435e-7,1.2727870541089314e-7,3.4189492722768233e-7
adjustb/DeBruijn.Bound/adjustb/11,5.8866132447860664e-5,5.8635329337309306e-5,5.915077630754693e-5,8.31609768456643e-7,6.90016507503583e-7,1.00700865856317e-6
adjustb/DeBruijn.Bound/adjustb/12,7.850842659837827e-5,7.831393660433198e-5,7.874588701510184e-5,7.013221771276908e-7,5.311153735637156e-7,1.0349475694205206e-6
adjustb/DeBruijn.Bound/adjustb/13,1.0581054950619565e-4,1.0512409723759991e-4,1.0663912614898204e-4,2.4628852752563636e-6,2.028080435977222e-6,2.924829236430995e-6
adjustb/DeBruijn.Bound/adjustb/14,1.4030913482998596e-4,1.3969813280047903e-4,1.4086362064429913e-4,2.0984454842876023e-6,1.704729765195102e-6,2.5409062209981527e-6
adjustb/DeBruijn.Bound/adjustb/15,1.7187704450948526e-4,1.7117819978959e-4,1.7249508572355845e-4,2.177130252346712e-6,1.8450048878770954e-6,2.7693929974623182e-6
adjustb/DeBruijn.Bound/adjustb/16,2.1842804210592384e-4,2.1740536586326153e-4,2.1967459749042785e-4,3.870547484413312e-6,3.0653237792193003e-6,5.569749038249093e-6
adjustb/DeBruijn.Bound/adjustb/17,2.8550630065316885e-4,2.8455373817077857e-4,2.8743480714257916e-4,4.653347906310138e-6,2.115194059621036e-6,9.462215153923922e-6
adjustb/DeBruijn.Bound/adjustb/18,4.1454755384374027e-4,4.1318640020879645e-4,4.166007996088058e-4,5.452946798133834e-6,4.007686130276864e-6,8.520902334663663e-6
adjustb/DeBruijn.Bound/adjustb/19,6.070230270637975e-4,6.046594930394859e-4,6.0995680799759e-4,8.963198806699377e-6,6.946737247390565e-6,1.3081132495634151e-5
adjustb/DeBruijn.Bound/adjustb/20,8.631010809270977e-4,8.606328296493066e-4,8.677469116166874e-4,1.0939000544449556e-5,7.235297041161105e-6,1.8241431872292167e-5
adjustb/DeBruijn.Bound/adjustb/1,9.471918858431223e-8,9.455198904652938e-8,9.496897211923189e-8,6.951878235901805e-10,4.6403263331672664e-10,1.1003815613932356e-9
adjustb/DeBruijn.Bound/adjustb/2,4.3361713479159974e-7,4.303472759441858e-7,4.3879172897416856e-7,1.3483949617235988e-8,9.457685762590783e-9,2.278569205826517e-8
adjustb/DeBruijn.Bound/adjustb/3,1.2179642373007327e-6,1.2077307326612157e-6,1.2316640131823471e-6,3.994000064297261e-8,2.84853211457397e-8,5.566294605502478e-8
adjustb/DeBruijn.Bound/adjustb/4,2.6832377551739093e-6,2.676823435181039e-6,2.6927549724902855e-6,2.6156500888374035e-8,1.7511433151010433e-8,3.648130590258335e-8
adjustb/DeBruijn.Bound/adjustb/5,5.095827177003539e-6,5.08680706261115e-6,5.112535868292054e-6,3.907509068456446e-8,2.4243864897620986e-8,5.8629481311452995e-8
adjustb/DeBruijn.Bound/adjustb/6,8.945784289979196e-6,8.93985935178119e-6,8.95402416727475e-6,2.3410829219482246e-8,1.776016116274944e-8,3.283059370515713e-8
adjustb/DeBruijn.Bound/adjustb/7,1.4157978906437787e-5,1.4101498515192235e-5,1.4271283256303083e-5,2.5895937095093935e-7,1.4537021338947122e-7,4.525901211234148e-7
adjustb/DeBruijn.Bound/adjustb/8,2.1033157658323764e-5,2.100693507146027e-5,2.1087240302371704e-5,1.2445739740591065e-7,7.812057130914771e-8,2.0330166416019688e-7
adjustb/DeBruijn.Bound/adjustb/9,3.0434811827780714e-5,3.0409726505588568e-5,3.0463425285669148e-5,9.3413053267212e-8,7.651799664419433e-8,1.1713386412988691e-7
adjustb/DeBruijn.Bound/adjustb/10,4.2747208977329496e-5,4.263069987232459e-5,4.2978825630971225e-5,5.164109305930659e-7,3.2364899335970606e-7,8.572119668116648e-7
adjustb/DeBruijn.Bound/adjustb/11,5.778847978855373e-5,5.77462420551972e-5,5.785873485608502e-5,1.7960629100743414e-7,1.3533549983357126e-7,2.5519494964911735e-7
adjustb/DeBruijn.Bound/adjustb/12,7.884936863961912e-5,7.84735282207119e-5,7.933429579586222e-5,1.433910451629522e-6,1.236634917616629e-6,1.7352296820762707e-6
adjustb/DeBruijn.Bound/adjustb/13,1.0457474585083719e-4,1.040297845323521e-4,1.0517047247191897e-4,1.8885486836816016e-6,1.5637464066670968e-6,2.4518100338605607e-6
adjustb/DeBruijn.Bound/adjustb/14,1.335252045877685e-4,1.3296230437210644e-4,1.3417328868143083e-4,2.0647086530462893e-6,1.9016713979066457e-6,2.3745090945076057e-6
adjustb/DeBruijn.Bound/adjustb/15,1.7306261294016895e-4,1.7230908352441405e-4,1.7407198509547254e-4,3.020664476511989e-6,2.342787416234942e-6,4.498653423887778e-6
adjustb/DeBruijn.Bound/adjustb/16,2.220446919646313e-4,2.2049686834983698e-4,2.2431181746420623e-4,6.501377002533841e-6,4.573501678647412e-6,9.179702518220708e-6
adjustb/DeBruijn.Bound/adjustb/17,2.81120104548683e-4,2.801976399512077e-4,2.8259827403156774e-4,4.241400687268147e-6,3.213972834596407e-6,6.2152181488241414e-6
adjustb/DeBruijn.Bound/adjustb/18,3.9028671847804496e-4,3.889485454815721e-4,3.9248487122769325e-4,5.493933805202462e-6,4.005390779733622e-6,8.028424332563936e-6
adjustb/DeBruijn.Bound/adjustb/19,5.488454245384047e-4,5.470527024720342e-4,5.517692495917166e-4,7.089062840919603e-6,5.046045587872477e-6,1.1594627078174852e-5
adjustb/DeBruijn.Bound/adjustb/20,7.664099470187311e-4,7.59370032311866e-4,7.919226791154107e-4,3.8639190613951395e-5,1.5446692975443607e-5,7.681253553063035e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Bound/adjustb/1,9.52251490193851e-8,9.508983475483445e-8,9.54614971830044e-8,5.431107053974051e-10,3.704130925921789e-10,8.076865640735323e-10
adjustb/DeBruijn.Bound/adjustb/2,4.292835206144474e-7,4.287382099275974e-7,4.3037243920075296e-7,2.4795896129206637e-9,1.735145915615149e-9,3.947768820425769e-9
