Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Nested/adjustb/1,4.419199512441544e-8,4.4116935069181376e-8,4.428778794143861e-8,2.848721714907956e-10,2.147223295510105e-10,3.792953692941638e-10
adjustb/DeBruijn.Nested/adjustb/2,1.8453979069937942e-7,1.8423744254080086e-7,1.8504901489407676e-7,1.2828636040069706e-9,7.558113120246255e-10,2.002332556238674e-9
adjustb/DeBruijn.Nested/adjustb/3,5.563845855383284e-7,5.417611732498952e-7,5.785896019610845e-7,5.957957509664905e-8,4.4710131025428e-8,7.196179786731138e-8
adjustb/DeBruijn.Nested/adjustb/4,1.4027825957864263e-6,1.3717463800536913e-6,1.4236424923514363e-6,8.268206721526426e-8,6.77968601169001e-8,1.0034159615945114e-7
adjustb/DeBruijn.Nested/adjustb/5,2.4348067393205693e-6,2.3886778790236348e-6,2.4747225126353032e-6,1.456253621578943e-7,1.2036204774375156e-7,1.7738093272730437e-7
adjustb/DeBruijn.Nested/adjustb/6,3.856283441572365e-6,3.801487850297737e-6,3.910205827249641e-6,1.8142747654335796e-7,1.5456431307044464e-7,2.1776958209714593e-7
adjustb/DeBruijn.Nested/adjustb/7,5.961341368425303e-6,5.876236892923706e-6,6.063614663059169e-6,3.203095087492942e-7,2.7522543076021345e-7,3.824654274000532e-7
adjustb/DeBruijn.Nested/adjustb/8,8.468009365472098e-6,8.351728017540373e-6,8.582712196506339e-6,3.8613047726353785e-7,3.277058391184222e-7,4.829966855010543e-7
adjustb/DeBruijn.Nested/adjustb/9,1.257869082380748e-5,1.2479194454494487e-5,1.2652954146096676e-5,2.9235459747081606e-7,2.257563325240975e-7,4.0387929215825526e-7
adjustb/DeBruijn.Nested/adjustb/10,1.5276662323928843e-5,1.5053798171107624e-5,1.5570702012775126e-5,9.002174822789616e-7,7.308095799231704e-7,1.049357386427058e-6
adjustb/DeBruijn.Nested/adjustb/11,1.9173372099205026e-5,1.9130503277000046e-5,1.923543444901064e-5,1.74607324914356e-7,1.3711330460407535e-7,2.3119641295281774e-7
adjustb/DeBruijn.Nested/adjustb/12,2.4760183757088955e-5,2.4681530781437994e-5,2.490121113899145e-5,3.5664930481215904e-7,2.5413984672127195e-7,5.871189613551663e-7
adjustb/DeBruijn.Nested/adjustb/13,3.1037985196856985e-5,3.096091548451546e-5,3.113702884017659e-5,2.7252971699569474e-7,2.2673939009312443e-7,3.3915973642637677e-7
adjustb/DeBruijn.Nested/adjustb/14,3.859361408892029e-5,3.849135026372095e-5,3.8753392899987155e-5,4.123805473577224e-7,2.7769552282705474e-7,6.761127961715614e-7
adjustb/DeBruijn.Nested/adjustb/15,4.730231423419265e-5,4.716092478574042e-5,4.7438073668173194e-5,4.876597848365227e-7,3.6515859971120885e-7,6.610031484183043e-7
adjustb/DeBruijn.Nested/adjustb/16,5.6517177798205596e-5,5.636373716410871e-5,5.6703866466549506e-5,5.803352409030745e-7,4.2132290018705574e-7,8.61371827747976e-7
adjustb/DeBruijn.Nested/adjustb/17,6.774700143643367e-5,6.752803029883962e-5,6.803236480817404e-5,8.82400738266401e-7,6.81294140222377e-7,1.3052777691337594e-6
adjustb/DeBruijn.Nested/adjustb/18,8.091382733372962e-5,8.065607915750318e-5,8.11674487458237e-5,8.731376497418413e-7,7.039743241951364e-7,1.1255071101927123e-6
adjustb/DeBruijn.Nested/adjustb/19,9.432989974768009e-5,9.410091624495259e-5,9.463851919380915e-5,8.277226407623483e-7,6.190045654679804e-7,1.3188045725524184e-6
adjustb/DeBruijn.Nested/adjustb/20,1.1053903213024828e-4,1.10242968888422e-4,1.1104090290709507e-4,1.2347708868607096e-6,8.69340924586794e-7,1.882181155376096e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Nested/adjustb/1,4.5552336895198534e-8,4.548247696087057e-8,4.5697214733032574e-8,3.261282609321954e-10,1.8377419724737983e-10,6.313376678429709e-10
adjustb/DeBruijn.Nested/adjustb/2,1.8477062045289603e-7,1.8452732838682663e-7,1.8514587608911044e-7,1.0268874336786888e-9,7.476835069406701e-10,1.4287581729329033e-9
adjustb/DeBruijn.Nested/adjustb/3,5.359482713891354e-7,5.346596056340321e-7,5.403240249164827e-7,6.893038929144322e-9,3.3927515151969824e-9,1.3701094556514822e-8
adjustb/DeBruijn.Nested/adjustb/4,1.0967012199123357e-6,1.0948456310962764e-6,1.1004596225663175e-6,8.589137186147599e-9,4.925842214871047e-9,1.562500822950987e-8
adjustb/DeBruijn.Nested/adjustb/5,2.102926015489588e-6,2.072782027794349e-6,2.1436131049531266e-6,1.109466097223937e-7,8.819984655104735e-8,1.469224867910591e-7
adjustb/DeBruijn.Nested/adjustb/6,3.481055269332032e-6,3.4659195702731666e-6,3.5040311320744996e-6,5.973819880089368e-8,4.44263880198226e-8,8.922913045080607e-8
adjustb/DeBruijn.Nested/adjustb/7,5.189501534610761e-6,5.176443175422813e-6,5.21731914010148e-6,5.920042164998572e-8,2.9785922012309673e-8,1.0401162327768436e-7
adjustb/DeBruijn.Nested/adjustb/8,7.586563960859489e-6,7.561877782528427e-6,7.641949797508562e-6,1.1055123313989177e-7,5.27358332003204e-8,1.9208961014949487e-7
adjustb/DeBruijn.Nested/adjustb/9,1.0739405675761645e-5,1.0643617097430499e-5,1.0954538191628515e-5,4.7347945046942634e-7,2.8181770560555175e-7,7.787616731790599e-7
adjustb/DeBruijn.Nested/adjustb/10,1.437784972013857e-5,1.4342905678485395e-5,1.4421221069649348e-5,1.2614391240962828e-7,9.249400444270588e-8,1.7897774608839557e-7
adjustb/DeBruijn.Nested/adjustb/11,1.8996271478847112e-5,1.8852586638031814e-5,1.9351998106455892e-5,7.349580319747164e-7,2.2293654471912062e-7,1.2418147405979547e-6
adjustb/DeBruijn.Nested/adjustb/12,2.426137485043715e-5,2.4205760570123194e-5,2.4357092910800304e-5,2.516292611830896e-7,1.6575136904882655e-7,4.084844889131959e-7
