Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UnboundRep/ids/1,2.1823821053248493e-7,2.1787042636372012e-7,2.1881363568008047e-7,1.4917480338376766e-9,1.1854776948878125e-9,1.9296048891442665e-9
ids/LocallyNameless.UnboundRep/ids/2,2.2516577220882167e-7,2.2484240599636558e-7,2.261909320962391e-7,1.7650806490736056e-9,4.3489361951534157e-10,3.642793988876868e-9
ids/LocallyNameless.UnboundRep/ids/3,2.481931241687995e-7,2.455383241635865e-7,2.5028625682255165e-7,7.673718535411509e-9,5.399804748527271e-9,9.525212050372904e-9
ids/LocallyNameless.UnboundRep/ids/4,2.77062188000922e-7,2.7656708046614885e-7,2.775951814811954e-7,1.7791231915612768e-9,1.405899084009575e-9,2.2742707556434774e-9
ids/LocallyNameless.UnboundRep/ids/5,2.834637002421823e-7,2.8303921536845783e-7,2.838698904615533e-7,1.4303062969910297e-9,1.2030047397633814e-9,1.724314515895687e-9
ids/LocallyNameless.UnboundRep/ids/6,2.8327118543005803e-7,2.8264745901739483e-7,2.8459730267860516e-7,3.0012205524730474e-9,1.735708557672362e-9,5.09438134255521e-9
ids/LocallyNameless.UnboundRep/ids/7,3.060517812785568e-7,3.0542402754722345e-7,3.067537026082003e-7,2.4236604059999045e-9,2.033957513384559e-9,3.041409052233247e-9
ids/LocallyNameless.UnboundRep/ids/8,3.047676720630845e-7,3.035925448418258e-7,3.067984804848136e-7,5.0795882619687725e-9,3.100048136714503e-9,8.579595145687005e-9
ids/LocallyNameless.UnboundRep/ids/9,3.089876387065702e-7,3.0843966561061396e-7,3.0982084380038106e-7,2.1800605361664624e-9,1.4638992861640734e-9,3.164275513404998e-9
ids/LocallyNameless.UnboundRep/ids/10,3.019887792882123e-7,3.015942765892209e-7,3.0269053865326385e-7,1.7990753148990377e-9,1.1580619372488395e-9,3.1001781810355744e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UnboundRep/ids/1,2.284466871712869e-7,2.273425012777635e-7,2.313819400841104e-7,5.587265290285396e-9,2.4362694431232536e-9,1.0569812619513241e-8
ids/LocallyNameless.UnboundRep/ids/2,2.3610499926881068e-7,2.357357845230973e-7,2.3677785441273986e-7,1.6311239835354663e-9,8.703625553665899e-10,2.7048033840825943e-9
ids/LocallyNameless.UnboundRep/ids/3,2.433395502350074e-7,2.4294609288244485e-7,2.43870318943059e-7,1.5036577427656616e-9,9.958631649729194e-10,2.2742211215488503e-9
ids/LocallyNameless.UnboundRep/ids/4,2.621783044105011e-7,2.619466443535308e-7,2.625850250772193e-7,1.0314113809125099e-9,6.417516210687903e-10,1.5712091198569968e-9
ids/LocallyNameless.UnboundRep/ids/5,2.673638642132828e-7,2.669942367162275e-7,2.680676092248987e-7,1.6248148446726967e-9,1.0890818925082944e-9,2.5587446040435653e-9
ids/LocallyNameless.UnboundRep/ids/6,2.707041497556776e-7,2.7051766416710193e-7,2.709501064648717e-7,6.940298835860294e-10,5.093969736027175e-10,1.0047669015839432e-9
ids/LocallyNameless.UnboundRep/ids/7,2.7621993521156855e-7,2.7587883732538397e-7,2.7669260796781694e-7,1.3490416133578812e-9,1.0470118580933713e-9,1.9600951468238882e-9
ids/LocallyNameless.UnboundRep/ids/8,2.842669109596597e-7,2.8384568054138417e-7,2.8487917439397786e-7,1.6733743110665683e-9,1.1550389606170371e-9,2.607292796442685e-9
ids/LocallyNameless.UnboundRep/ids/9,2.9081830671102577e-7,2.906447387487332e-7,2.9101799701837104e-7,6.259065810267685e-10,4.866375272011351e-10,8.752406390874427e-10
ids/LocallyNameless.UnboundRep/ids/10,2.9870020274639997e-7,2.984025098153153e-7,2.9924587569207484e-7,1.2709758845216334e-9,8.198196963095435e-10,2.0152825596154987e-9
