Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.TypedOtt/adjust/1,5.6830982355220646e-8,5.6576094102965e-8,5.751668046438359e-8,1.2610287244470442e-9,6.658441927666527e-10,2.441143669046179e-9
adjust/LocallyNameless.TypedOtt/adjust/2,2.498975174262941e-7,2.4974634058382014e-7,2.5011830050454216e-7,5.884610997354157e-10,4.1924458442573875e-10,7.700671973178738e-10
adjust/LocallyNameless.TypedOtt/adjust/3,6.752856138957715e-7,6.746903269346168e-7,6.759487354075308e-7,2.0256492675387776e-9,1.5594097752801082e-9,3.151156402089416e-9
adjust/LocallyNameless.TypedOtt/adjust/4,1.4080139822620851e-6,1.405486016633571e-6,1.412267478978142e-6,1.0365831275512063e-8,7.462896657084878e-9,1.452994219822781e-8
adjust/LocallyNameless.TypedOtt/adjust/5,2.3865999400519586e-6,2.383749071089439e-6,2.391355909316151e-6,1.2569526171307067e-8,8.731225422539786e-9,2.035468764039646e-8
adjust/LocallyNameless.TypedOtt/adjust/6,3.697256976029909e-6,3.688422663537458e-6,3.7136654113122046e-6,4.0339848795657005e-8,2.836087307894141e-8,6.11417665315967e-8
adjust/LocallyNameless.TypedOtt/adjust/7,5.46113056200936e-6,5.430022566153093e-6,5.520350395277783e-6,1.425134669747125e-7,8.413269140584919e-8,2.527025487713413e-7
adjust/LocallyNameless.TypedOtt/adjust/8,7.746498662428676e-6,7.739591299545438e-6,7.756905902865065e-6,2.7712161559956215e-8,1.950799583580933e-8,4.085293962068056e-8
adjust/LocallyNameless.TypedOtt/adjust/9,1.0662355560097296e-5,1.064926022573876e-5,1.0679076047205668e-5,5.005623416322415e-8,3.6173928984787736e-8,6.956793428042665e-8
adjust/LocallyNameless.TypedOtt/adjust/10,1.3951849963797535e-5,1.3943083119317527e-5,1.3963260301311423e-5,3.4075154605727695e-8,2.6789464272559825e-8,4.334898336313925e-8
adjust/LocallyNameless.TypedOtt/adjust/11,1.764913456975173e-5,1.762887988175324e-5,1.7682991476210507e-5,8.570000550227207e-8,5.965388859726565e-8,1.361394750735476e-7
adjust/LocallyNameless.TypedOtt/adjust/12,2.2494405806644417e-5,2.2478567326918903e-5,2.251226080018932e-5,5.716077605192135e-8,4.5541350857880716e-8,7.33453304445108e-8
adjust/LocallyNameless.TypedOtt/adjust/13,2.8495371993393826e-5,2.8461200922308394e-5,2.8537526742976664e-5,1.2501675653415745e-7,9.575556925523333e-8,1.884468154391331e-7
adjust/LocallyNameless.TypedOtt/adjust/14,3.4463781599161896e-5,3.443558363616261e-5,3.451239432129528e-5,1.244324496263257e-7,8.20741557394874e-8,1.9037208461011438e-7
adjust/LocallyNameless.TypedOtt/adjust/15,4.170324981401987e-5,4.167075030877933e-5,4.174648948279132e-5,1.276807356968347e-7,1.0390138031551501e-7,1.5995167263049025e-7
adjust/LocallyNameless.TypedOtt/adjust/16,4.94594067728136e-5,4.941762481082747e-5,4.950874923250323e-5,1.5468817126655987e-7,1.2823757167530696e-7,1.9363729916794207e-7
adjust/LocallyNameless.TypedOtt/adjust/17,5.92053462155687e-5,5.913728945949299e-5,5.930884804633328e-5,2.7296392697139314e-7,1.930617173785454e-7,3.791454781872466e-7
adjust/LocallyNameless.TypedOtt/adjust/18,6.909237180952183e-5,6.901031007699662e-5,6.932776307817851e-5,4.184552039968689e-7,1.6037753397178508e-7,8.27468259601608e-7
adjust/LocallyNameless.TypedOtt/adjust/19,7.984987564766314e-5,7.979654402480352e-5,7.99483379563615e-5,2.2051661223854971e-7,1.5692397964711463e-7,3.201661135562027e-7
adjust/LocallyNameless.TypedOtt/adjust/20,9.218764339176287e-5,9.208671355884217e-5,9.236142311264075e-5,4.4329172013415486e-7,3.097873655807805e-7,7.244823080273952e-7
