Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.TypedOpt/adjust/1,5.72996182822849e-8,5.724067274706265e-8,5.7417948979407576e-8,2.657073654020262e-10,1.5931574268761147e-10,5.214332505680489e-10
adjust/LocallyNameless.TypedOpt/adjust/2,1.8343237702243358e-7,1.8326581949547915e-7,1.8373410309893525e-7,7.288513949861697e-10,4.5900474709619723e-10,1.2183772275829972e-9
adjust/LocallyNameless.TypedOpt/adjust/3,4.091841111211787e-7,4.0888289627103574e-7,4.096462720406727e-7,1.2256976437212788e-9,8.760931409340993e-10,1.8955373433453256e-9
adjust/LocallyNameless.TypedOpt/adjust/4,7.389832509925768e-7,7.379689366894682e-7,7.408704447456727e-7,4.272565945414194e-9,2.8248905496888535e-9,7.109844835711743e-9
adjust/LocallyNameless.TypedOpt/adjust/5,1.1714684762833998e-6,1.1705248474389059e-6,1.172757611688045e-6,3.788814438434402e-9,3.245851370687854e-9,4.993801797384792e-9
adjust/LocallyNameless.TypedOpt/adjust/6,1.6847093180058427e-6,1.6833908178181238e-6,1.6865205044363938e-6,5.3039620397892645e-9,4.33724376605818e-9,6.6728554501778925e-9
adjust/LocallyNameless.TypedOpt/adjust/7,2.4189041093359034e-6,2.416203919772626e-6,2.4271392619303137e-6,1.3194009109562565e-8,7.275235797537141e-9,2.3393869854382608e-8
adjust/LocallyNameless.TypedOpt/adjust/8,3.363792782777891e-6,3.360663379883349e-6,3.3695368753557154e-6,1.4333718170698145e-8,8.172629262031749e-9,2.2807295246630582e-8
adjust/LocallyNameless.TypedOpt/adjust/9,4.526113596083204e-6,4.520524207541314e-6,4.537716791190448e-6,2.618969922419456e-8,1.51850885810245e-8,4.693464349724151e-8
adjust/LocallyNameless.TypedOpt/adjust/10,5.9077801400129435e-6,5.902372898399792e-6,5.915237747959083e-6,2.1404149553231025e-8,1.496177981267136e-8,2.883167714835613e-8
adjust/LocallyNameless.TypedOpt/adjust/11,7.434658721606819e-6,7.427385471332558e-6,7.441927326066206e-6,2.5430068256015227e-8,2.2575783211472135e-8,2.8364370015609018e-8
adjust/LocallyNameless.TypedOpt/adjust/12,9.354335307636041e-6,9.34737477024644e-6,9.365292466737973e-6,2.787514836578001e-8,1.8572533918587144e-8,4.848449586307586e-8
adjust/LocallyNameless.TypedOpt/adjust/13,1.1287141077384088e-5,1.1273892898436414e-5,1.130499468167802e-5,5.128371046014962e-8,3.700973713076799e-8,6.902830150175944e-8
adjust/LocallyNameless.TypedOpt/adjust/14,1.3489535189092783e-5,1.3476933493931895e-5,1.3504200699859477e-5,4.6087968098206454e-8,3.557388864303066e-8,6.72981283395067e-8
adjust/LocallyNameless.TypedOpt/adjust/15,1.5880263872824457e-5,1.586221289973463e-5,1.591779585757762e-5,8.34274746422692e-8,4.943783827487384e-8,1.401135436971171e-7
adjust/LocallyNameless.TypedOpt/adjust/16,1.8673992453740004e-5,1.8663379724386697e-5,1.868948893456257e-5,4.334498550935457e-8,3.438888346359634e-8,5.377076523119305e-8
adjust/LocallyNameless.TypedOpt/adjust/17,2.1870377543059193e-5,2.184591821435883e-5,2.1892392395123372e-5,7.705084918428367e-8,6.306097903514339e-8,1.0136977895007844e-7
adjust/LocallyNameless.TypedOpt/adjust/18,2.564543735567172e-5,2.5624402806142263e-5,2.5671831484594903e-5,8.148490390314565e-8,6.55248035138628e-8,1.1500184889104142e-7
adjust/LocallyNameless.TypedOpt/adjust/19,2.936861432684292e-5,2.934431550048841e-5,2.9393950990802756e-5,7.98106758643539e-8,6.846701152270934e-8,9.611130510760729e-8
adjust/LocallyNameless.TypedOpt/adjust/20,3.361691602418628e-5,3.3571307986198815e-5,3.369590230436398e-5,1.971006183321122e-7,1.1833125520414215e-7,2.977130317609629e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.TypedOpt/adjust/1,6.355036260268487e-8,6.30846114269833e-8,6.383480097494712e-8,1.1330183100934048e-9,5.595452570026973e-10,2.0577448241445268e-9
adjust/LocallyNameless.TypedOpt/adjust/2,1.7982514117856838e-7,1.7935193374316945e-7,1.807182238172693e-7,2.0819720811976795e-9,1.2724416766882034e-9,3.400390476987578e-9
adjust/LocallyNameless.TypedOpt/adjust/3,4.060174110764072e-7,4.053332224969929e-7,4.0730337544480973e-7,2.9983746842263114e-9,1.9030970958239626e-9,4.998262617161841e-9
adjust/LocallyNameless.TypedOpt/adjust/4,7.1514909728251e-7,7.144895075040048e-7,7.159045490474244e-7,2.502748891256476e-9,2.1205285035602712e-9,3.0304296660325277e-9
adjust/LocallyNameless.TypedOpt/adjust/5,1.2880708589715993e-6,1.2504916003118417e-6,1.333389507124545e-6,1.3426385272270318e-7,1.1567032835696868e-7,1.4192479676912494e-7
adjust/LocallyNameless.TypedOpt/adjust/6,1.7244612769509155e-6,1.722292916838514e-6,1.7284112939585942e-6,9.362579291707012e-9,6.323016446366688e-9,1.5344763720054807e-8
adjust/LocallyNameless.TypedOpt/adjust/7,2.916443865224203e-6,2.9084934805846427e-6,2.9266656936319012e-6,3.173893508784015e-8,2.5197357093885286e-8,4.6492513566989705e-8
adjust/LocallyNameless.TypedOpt/adjust/8,3.95420469877562e-6,3.943125502593692e-6,3.968270104327065e-6,4.351018106646718e-8,3.218884865444573e-8,7.202823620583651e-8
adjust/LocallyNameless.TypedOpt/adjust/9,5.253338623661776e-6,5.248712018367557e-6,5.259282793881745e-6,1.7076890877014396e-8,1.3138524186587476e-8,2.485420165437545e-8
