Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Opt/adjustb/1,1.3675643798691941e-7,1.3589354204455604e-7,1.3923473051626459e-7,4.357918943131497e-9,1.8586949327610008e-9,8.683528320988079e-9
adjustb/LocallyNameless.Opt/adjustb/2,3.7849013518603216e-7,3.779481878744171e-7,3.792464270346629e-7,2.1620252825551095e-9,1.5665867313039141e-9,2.923171211928391e-9
adjustb/LocallyNameless.Opt/adjustb/3,6.917141417240155e-7,6.902751317127465e-7,6.949354818977213e-7,6.692930176348877e-9,2.909886104378742e-9,1.1118128655524036e-8
adjustb/LocallyNameless.Opt/adjustb/4,1.1550131195779731e-6,1.1537239646434303e-6,1.1572713914205408e-6,5.337125947040698e-9,3.8348624289983575e-9,7.804338886056467e-9
adjustb/LocallyNameless.Opt/adjustb/5,1.776732725888e-6,1.7753850657266843e-6,1.778278634261475e-6,4.973409535441477e-9,3.886426238044409e-9,7.253886042808013e-9
adjustb/LocallyNameless.Opt/adjustb/6,2.429636208471935e-6,2.4263107631908646e-6,2.4345999823607358e-6,1.354084732390121e-8,8.553511697105123e-9,2.107012253590609e-8
adjustb/LocallyNameless.Opt/adjustb/7,3.3178337217811703e-6,3.3089871957306013e-6,3.3312866076071655e-6,3.6026992457656686e-8,2.7573333883335064e-8,5.5757546876177984e-8
adjustb/LocallyNameless.Opt/adjustb/8,4.396536761079909e-6,4.394132161920161e-6,4.40374553417015e-6,1.212647040173203e-8,5.388023416026936e-9,2.5060819745899675e-8
adjustb/LocallyNameless.Opt/adjustb/9,5.736601707467575e-6,5.726055075765099e-6,5.753030408962775e-6,4.425796949156741e-8,2.960959439241372e-8,7.059453338278505e-8
adjustb/LocallyNameless.Opt/adjustb/10,7.236780925100485e-6,7.227533183966976e-6,7.249424273006202e-6,3.6504302691410215e-8,2.6963049839987384e-8,5.23756825788838e-8
adjustb/LocallyNameless.Opt/adjustb/11,9.077825115608828e-6,9.065089976604911e-6,9.09644431685017e-6,5.228294267761101e-8,3.249291527829295e-8,8.951630087815411e-8
adjustb/LocallyNameless.Opt/adjustb/12,1.0941436864867772e-5,1.0930819511566937e-5,1.096469888307272e-5,5.192950455573527e-8,3.004955146188659e-8,9.048355257411997e-8
adjustb/LocallyNameless.Opt/adjustb/13,1.3146976862228733e-5,1.311335027768028e-5,1.3195875158444928e-5,1.3647263354250414e-7,9.776174868209149e-8,1.8087234280033187e-7
adjustb/LocallyNameless.Opt/adjustb/14,1.5519977381492998e-5,1.5488136242736238e-5,1.556393531063694e-5,1.2246681787450602e-7,9.057035598296596e-8,1.8925390976689455e-7
adjustb/LocallyNameless.Opt/adjustb/15,1.8122003606746307e-5,1.8083647994130403e-5,1.8205219426206388e-5,1.722220772692179e-7,1.0680722525998696e-7,2.900504352972791e-7
adjustb/LocallyNameless.Opt/adjustb/16,2.121687426163201e-5,2.1174503320986886e-5,2.1273889309244654e-5,1.6885442184827592e-7,1.3030924057970202e-7,2.1205592649566632e-7
adjustb/LocallyNameless.Opt/adjustb/17,2.4484425100120765e-5,2.432986482276452e-5,2.4729384800946105e-5,6.258586770110536e-7,3.670457978571538e-7,1.0353701825279473e-6
adjustb/LocallyNameless.Opt/adjustb/18,2.873672904685637e-5,2.8660910925011698e-5,2.8811194385895112e-5,2.573246048760704e-7,2.0511693114150608e-7,3.3136676715856463e-7
adjustb/LocallyNameless.Opt/adjustb/19,3.1916938005999585e-5,3.187531443757274e-5,3.201614211439687e-5,2.1222373395094496e-7,1.2079512855812137e-7,3.856902096628297e-7
