Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Ott/adjustb/1,1.2674626599537253e-7,1.2651449839863424e-7,1.2717276813188925e-7,1.0541191862148928e-9,6.671218562555628e-10,1.7382869928141818e-9
adjustb/LocallyNameless.Ott/adjustb/2,4.3489433347762837e-7,4.344992529821737e-7,4.3544027353941e-7,1.6523156490594404e-9,1.1563989674441312e-9,2.523214245632395e-9
adjustb/LocallyNameless.Ott/adjustb/3,9.338870566405189e-7,9.328610823708126e-7,9.349555981701978e-7,3.592044728365605e-9,2.991542408945024e-9,4.247105242088302e-9
adjustb/LocallyNameless.Ott/adjustb/4,1.7430076744118081e-6,1.738384662625267e-6,1.7504911907992652e-6,1.9293311754014445e-8,1.3398147162750258e-8,3.0215234721621234e-8
adjustb/LocallyNameless.Ott/adjustb/5,2.9165864016465363e-6,2.9013149220354587e-6,2.9318605287081405e-6,5.421734370289488e-8,4.0783846867865855e-8,8.055569724973215e-8
adjustb/LocallyNameless.Ott/adjustb/6,4.457629510015743e-6,4.415472421589917e-6,4.524879721445893e-6,1.7156579342800848e-7,1.211149568596784e-7,2.3790718595131601e-7
adjustb/LocallyNameless.Ott/adjustb/7,6.356142909793319e-6,6.329565129139328e-6,6.401666560890275e-6,1.1658977176514023e-7,7.906554984755262e-8,1.935908792169256e-7
adjustb/LocallyNameless.Ott/adjustb/8,8.471518704442199e-6,8.454522385211767e-6,8.495146097641962e-6,6.341377266788153e-8,5.30670565446275e-8,8.048825278811289e-8
adjustb/LocallyNameless.Ott/adjustb/9,1.1095752303288892e-5,1.1076621016363227e-5,1.114513585115662e-5,9.384983413963405e-8,4.7311513375640584e-8,1.7290758996967008e-7
adjustb/LocallyNameless.Ott/adjustb/10,1.4422685967297024e-5,1.4393382675785868e-5,1.4472614910681406e-5,1.2332393652859592e-7,8.662016861064302e-8,2.0778725178310628e-7
adjustb/LocallyNameless.Ott/adjustb/11,1.8092147773028496e-5,1.8026838027149055e-5,1.8233422914831464e-5,3.231801991313912e-7,1.671159609704737e-7,5.661666598272139e-7
adjustb/LocallyNameless.Ott/adjustb/12,2.2187392680411905e-5,2.2166263495977866e-5,2.223123668430737e-5,9.755548593488915e-8,3.580192934461968e-8,1.591592304097872e-7
adjustb/LocallyNameless.Ott/adjustb/13,2.744550866968872e-5,2.7400287529010463e-5,2.7514032299511476e-5,1.8842776871882716e-7,1.4394835055532733e-7,2.3795622805983245e-7
adjustb/LocallyNameless.Ott/adjustb/14,3.320330662992218e-5,3.3139569899952414e-5,3.328974779093049e-5,2.4314650129400065e-7,1.5824312971906304e-7,3.557291780896704e-7
adjustb/LocallyNameless.Ott/adjustb/15,3.9689669204158585e-5,3.965059169828604e-5,3.9768439545450075e-5,1.7699829997425005e-7,1.0945708283500475e-7,2.834637869306089e-7
adjustb/LocallyNameless.Ott/adjustb/16,4.679167765163208e-5,4.675074960666223e-5,4.6846556908772595e-5,1.5835733049855353e-7,1.2131478509913879e-7,2.387371584448124e-7
adjustb/LocallyNameless.Ott/adjustb/17,5.515005215951483e-5,5.489352726818778e-5,5.591911082873752e-5,1.2857142478162523e-6,5.105893323231153e-7,2.692200785519373e-6
adjustb/LocallyNameless.Ott/adjustb/18,6.343052417796725e-5,6.336333537315398e-5,6.356835012363757e-5,3.160431952165484e-7,1.8365003171423246e-7,5.650714827991979e-7
adjustb/LocallyNameless.Ott/adjustb/19,7.40382733696365e-5,7.388299037144664e-5,7.425197244637896e-5,5.966793443867364e-7,4.0510017789435673e-7,8.106144600660647e-7
adjustb/LocallyNameless.Ott/adjustb/20,8.483479255529138e-5,8.468568990305841e-5,8.503312144854467e-5,5.772006993553364e-7,4.1712338843376343e-7,8.089884000161465e-7
