Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.ParScoped/adjust/1,5.2069672030717594e-8,5.196540953145545e-8,5.2187107327174735e-8,3.7972613364718084e-10,3.126195241886442e-10,4.866829351331257e-10
adjust/LocallyNameless.ParScoped/adjust/2,2.6178930134208783e-7,2.612636080116769e-7,2.623886470449599e-7,1.9051907368198513e-9,1.5054641000624976e-9,2.897921736495661e-9
adjust/LocallyNameless.ParScoped/adjust/3,7.474224565862387e-7,7.452592716742214e-7,7.512092014886671e-7,8.966120236726539e-9,6.498662802667246e-9,1.3325260339132797e-8
adjust/LocallyNameless.ParScoped/adjust/4,1.6043105793623613e-6,1.5991293788409577e-6,1.6163695222973309e-6,2.5396331046780757e-8,1.095989170802709e-8,4.520623852367437e-8
adjust/LocallyNameless.ParScoped/adjust/5,2.8469641616269513e-6,2.8417272158879395e-6,2.855065914653822e-6,2.2460160954010355e-8,1.5357568437521762e-8,3.6883552534230056e-8
adjust/LocallyNameless.ParScoped/adjust/6,4.391588673435685e-6,4.380838705234809e-6,4.4018294210874365e-6,3.543987362390044e-8,2.6648434987394133e-8,4.847388714701703e-8
adjust/LocallyNameless.ParScoped/adjust/7,6.4411833123326085e-6,6.414664142883904e-6,6.5022123847327074e-6,1.279728138482946e-7,7.297725774596382e-8,2.2486748274586084e-7
adjust/LocallyNameless.ParScoped/adjust/8,9.146652752890536e-6,9.125598814857853e-6,9.182442317815863e-6,9.146735795393425e-8,5.3395477807016675e-8,1.546954466443319e-7
adjust/LocallyNameless.ParScoped/adjust/9,1.2465511208589393e-5,1.2450621441709325e-5,1.2485791598482896e-5,5.819440287856729e-8,4.5715161601752857e-8,7.726739840161305e-8
adjust/LocallyNameless.ParScoped/adjust/10,1.6783014874726385e-5,1.673568119853309e-5,1.6890651996693417e-5,2.215925149908754e-7,1.2511528588593158e-7,3.871442058852874e-7
adjust/LocallyNameless.ParScoped/adjust/11,2.147164324996719e-5,2.1446028790683654e-5,2.150219674625945e-5,8.888675493426981e-8,6.381181014067676e-8,1.3333034494626473e-7
adjust/LocallyNameless.ParScoped/adjust/12,2.774123469019677e-5,2.7688663581150325e-5,2.779612133796673e-5,1.7664490904269583e-7,1.4818655438433522e-7,2.105572620489849e-7
adjust/LocallyNameless.ParScoped/adjust/13,3.482329990783603e-5,3.474700881400281e-5,3.491943046644611e-5,2.8608633943086813e-7,2.2832795243594035e-7,3.691962493523675e-7
adjust/LocallyNameless.ParScoped/adjust/14,4.231959452741033e-5,4.2165275563507485e-5,4.263249729587982e-5,7.407182924680817e-7,3.648036885375761e-7,1.2455478434833657e-6
adjust/LocallyNameless.ParScoped/adjust/15,5.0611943828929536e-5,5.054307951830686e-5,5.0758994766367835e-5,3.2400688808362316e-7,1.8565594544494415e-7,5.961371614798452e-7
adjust/LocallyNameless.ParScoped/adjust/16,6.1011158560697574e-5,6.090563572921561e-5,6.117548863554987e-5,4.2738015299440427e-7,3.252336464070117e-7,6.969347314658141e-7
adjust/LocallyNameless.ParScoped/adjust/17,7.203779998846518e-5,7.195932985284916e-5,7.217759941928687e-5,3.381666407617151e-7,1.860471315023258e-7,6.014175435968515e-7
adjust/LocallyNameless.ParScoped/adjust/18,8.571008434365035e-5,8.553539677496145e-5,8.591205201779396e-5,6.383429002839541e-7,5.194378264020746e-7,7.755851049979703e-7
adjust/LocallyNameless.ParScoped/adjust/19,9.964134677653058e-5,9.944740917652891e-5,9.987581369437353e-5,7.36879698294744e-7,6.349326822264143e-7,8.551294387942688e-7
adjust/LocallyNameless.ParScoped/adjust/20,1.1514689559462567e-4,1.1448913113558359e-4,1.1655980840722352e-4,3.2167758627677923e-6,1.633275782623418e-6,5.884266002752092e-6
