Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Ott/con/1,3.337087913874946e-8,3.33300012880852e-8,3.342900884086099e-8,1.6704640437333205e-10,1.3450865396078215e-10,2.3065022218179265e-10
con/LocallyNameless.Ott/con/2,5.72282967732136e-8,5.7149757831888955e-8,5.7352911550562726e-8,3.1699539926630364e-10,2.2851571287857245e-10,4.5680925890380573e-10
con/LocallyNameless.Ott/con/3,8.498414454054445e-8,8.485345587954904e-8,8.516678727902677e-8,5.156983299022911e-10,4.116589300640103e-10,7.390549595630321e-10
con/LocallyNameless.Ott/con/4,1.1595561823090093e-7,1.1576887643940244e-7,1.1626509975895165e-7,8.307012717924058e-10,5.488636081304418e-10,1.218680900975458e-9
con/LocallyNameless.Ott/con/5,1.5183394266960565e-7,1.5149897355425207e-7,1.5239490010626e-7,1.4856157195004107e-9,9.522757097935323e-10,2.526388035058483e-9
con/LocallyNameless.Ott/con/6,1.9180862996925061e-7,1.915988224527073e-7,1.9219245718042918e-7,9.285263329641912e-10,5.925478992696394e-10,1.5595646419715254e-9
con/LocallyNameless.Ott/con/7,2.357480744886641e-7,2.3561996226690065e-7,2.3588540440094094e-7,4.5050862758462266e-10,3.6282783775909025e-10,5.930803320839578e-10
con/LocallyNameless.Ott/con/8,2.830873729883272e-7,2.8258716002816e-7,2.8368352033677704e-7,1.878872475066537e-9,1.464629387634754e-9,2.9793146891044592e-9
con/LocallyNameless.Ott/con/9,3.547674208361301e-7,3.542584596093056e-7,3.555478313090924e-7,2.109021028967083e-9,1.4514077068539259e-9,3.219025088572896e-9
con/LocallyNameless.Ott/con/10,4.3471510422317364e-7,4.341755492727021e-7,4.359798467521186e-7,2.6035537550268876e-9,1.3025697759851081e-9,4.741758523050598e-9
con/LocallyNameless.Ott/con/11,4.926650300181945e-7,4.914919448039463e-7,4.946451178793555e-7,5.234467653529426e-9,3.6554323325180063e-9,8.127727531898334e-9
con/LocallyNameless.Ott/con/12,5.8260137397642e-7,5.81316637107877e-7,5.841212937637643e-7,4.693688036444328e-9,3.931848401702872e-9,6.008564899308284e-9
con/LocallyNameless.Ott/con/13,6.619781467603682e-7,6.612836386303515e-7,6.631072376315913e-7,2.803466900991404e-9,1.9549207049509695e-9,4.029070373178911e-9
con/LocallyNameless.Ott/con/14,7.460741530706224e-7,7.448308272941311e-7,7.477711877846513e-7,4.791407818763475e-9,3.541110399134718e-9,6.993787659339624e-9
con/LocallyNameless.Ott/con/15,8.296430340061326e-7,8.279781756957937e-7,8.318828015740965e-7,6.453558942778783e-9,4.8270913948455234e-9,9.585178330744118e-9
con/LocallyNameless.Ott/con/16,9.217090975093025e-7,9.197279155728151e-7,9.252724302321817e-7,8.472173859040123e-9,5.4095692885322825e-9,1.3834903002296588e-8
con/LocallyNameless.Ott/con/17,1.0167135875941265e-6,1.0148927347286145e-6,1.019382142556407e-6,6.917379918473849e-9,5.309488943803605e-9,8.974380645277275e-9
con/LocallyNameless.Ott/con/18,1.1168114534045031e-6,1.1152317155096344e-6,1.1183225266407088e-6,5.09100905328093e-9,4.205235116865894e-9,6.3098292468197595e-9
con/LocallyNameless.Ott/con/19,1.2179349097842582e-6,1.2168451476448683e-6,1.2196499399697461e-6,4.563501655534492e-9,3.210932540108761e-9,6.892006292051075e-9
con/LocallyNameless.Ott/con/20,1.3386790284675772e-6,1.3372375476441476e-6,1.3414946008605286e-6,6.5337775308850515e-9,3.817714360977499e-9,1.0173389633682199e-8
