Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.ParOpt/adjustb/1,3.5509390232870136e-7,3.5435978609953486e-7,3.563092962578821e-7,3.1688927216578643e-9,2.208932435174119e-9,4.760656859576186e-9
adjustb/LocallyNameless.ParOpt/adjustb/2,9.01123247275348e-7,8.997530052905713e-7,9.027153298603735e-7,5.218556356199769e-9,3.7827191763977434e-9,7.121142460736483e-9
adjustb/LocallyNameless.ParOpt/adjustb/3,1.931985236312591e-6,1.8472616339717845e-6,1.998723779410138e-6,2.4566166585265793e-7,2.1857923789056398e-7,2.5834962837582164e-7
adjustb/LocallyNameless.ParOpt/adjustb/4,2.658411589031736e-6,2.6536464336892422e-6,2.6667340311851154e-6,2.0608478995186297e-8,1.4601801910328527e-8,3.382244922445138e-8
adjustb/LocallyNameless.ParOpt/adjustb/5,4.346939921097224e-6,4.342164654083933e-6,4.356981126370133e-6,2.2664678858177123e-8,1.077247549393199e-8,4.33321125815021e-8
adjustb/LocallyNameless.ParOpt/adjustb/6,6.25834338197707e-6,6.245438832883861e-6,6.28026838592504e-6,5.289632166058641e-8,3.90830114728646e-8,7.714873786370319e-8
adjustb/LocallyNameless.ParOpt/adjustb/7,8.97359646913841e-6,8.965246856007437e-6,8.985177136878294e-6,3.2370010782445065e-8,2.4543728217278106e-8,4.240217550492198e-8
adjustb/LocallyNameless.ParOpt/adjustb/8,1.1911150177601163e-5,1.1897829469330088e-5,1.1930717434643207e-5,5.6031963082041295e-8,3.8231767666130284e-8,9.494982584579846e-8
adjustb/LocallyNameless.ParOpt/adjustb/9,1.5516912722368247e-5,1.5491405093090553e-5,1.556095453232949e-5,1.0851593764235694e-7,6.443400756101608e-8,1.8308022556850222e-7
adjustb/LocallyNameless.ParOpt/adjustb/10,1.966353338546776e-5,1.964224724343862e-5,1.9694752061442556e-5,8.43794536742148e-8,6.231851927538054e-8,1.1486891498906928e-7
adjustb/LocallyNameless.ParOpt/adjustb/11,2.4449105214159832e-5,2.4430791704347485e-5,2.4471053473267277e-5,6.592156326294612e-8,5.550297026003533e-8,7.881737297616067e-8
adjustb/LocallyNameless.ParOpt/adjustb/12,2.9967991781205406e-5,2.9928072332367223e-5,3.002673329898249e-5,1.5277400730369396e-7,9.578701677120529e-8,2.4847089872874064e-7
adjustb/LocallyNameless.ParOpt/adjustb/13,3.66496073665149e-5,3.660150173300161e-5,3.672232425949314e-5,1.9545565845289671e-7,1.5263495898346864e-7,2.4762542611362744e-7
adjustb/LocallyNameless.ParOpt/adjustb/14,4.383789389398047e-5,4.380385072137824e-5,4.3884601432820425e-5,1.3109978833169996e-7,9.099869355405172e-8,2.1534673431783222e-7
adjustb/LocallyNameless.ParOpt/adjustb/15,5.2637531731753305e-5,5.254963933182501e-5,5.2769761071221096e-5,3.6054202191707113e-7,2.406078948554845e-7,5.175034771522157e-7
adjustb/LocallyNameless.ParOpt/adjustb/16,6.154748557938281e-5,6.1472482913314e-5,6.164779970920406e-5,2.9264381612841695e-7,2.1008177833690778e-7,4.10915534641684e-7
adjustb/LocallyNameless.ParOpt/adjustb/17,7.161210819288798e-5,7.156270026325816e-5,7.1666539627591e-5,1.9115670055914844e-7,1.6014827922575468e-7,2.3094292243139003e-7
adjustb/LocallyNameless.ParOpt/adjustb/18,8.418568700719725e-5,8.409230764265436e-5,8.441065107503933e-5,4.3800248126688847e-7,2.1924207162940042e-7,9.030157279936806e-7
adjustb/LocallyNameless.ParOpt/adjustb/19,9.672533324463507e-5,9.650896840258912e-5,9.701324289017851e-5,8.22849932351897e-7,6.259037413825417e-7,1.283430904321571e-6
adjustb/LocallyNameless.ParOpt/adjustb/20,1.0942351964666103e-4,1.0930352030015514e-4,1.0962388099265061e-4,5.338680557414136e-7,3.161079189578847e-7,8.432080842057826e-7
