Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.UnboundRep/adjust/1,4.546910257890269e-7,4.534307498498671e-7,4.565399109369487e-7,4.984172132497212e-9,4.025562192149803e-9,6.570183456902899e-9
adjust/LocallyNameless.UnboundRep/adjust/2,2.5315422727888895e-6,2.527455763741342e-6,2.536344198067077e-6,1.4163438493015831e-8,1.1225410415403883e-8,1.9718900382258168e-8
adjust/LocallyNameless.UnboundRep/adjust/3,6.864563889458711e-6,6.852469846156961e-6,6.878907618172954e-6,4.338928155216352e-8,3.406008854389798e-8,5.765254777218218e-8
adjust/LocallyNameless.UnboundRep/adjust/4,1.4416645790895407e-5,1.4390757965910652e-5,1.4446253562262865e-5,9.220529798514327e-8,7.29170279767686e-8,1.206790298321913e-7
adjust/LocallyNameless.UnboundRep/adjust/5,2.5802993773708528e-5,2.5738162149141072e-5,2.58874649857522e-5,2.5778872474797214e-7,1.9175216485094634e-7,3.907419977872834e-7
adjust/LocallyNameless.UnboundRep/adjust/6,4.192374479045448e-5,4.1787490591248715e-5,4.206038384295201e-5,4.807012693323763e-7,4.3839254897472473e-7,5.410847522582638e-7
adjust/LocallyNameless.UnboundRep/adjust/7,6.439452125403266e-5,6.42457121590933e-5,6.45927569861512e-5,5.655566805480873e-7,4.3082773816498174e-7,8.361809919630426e-7
adjust/LocallyNameless.UnboundRep/adjust/8,9.325192776918912e-5,9.307929124575385e-5,9.34591663511171e-5,6.041631518146162e-7,4.5125223900094554e-7,9.729288427201487e-7
adjust/LocallyNameless.UnboundRep/adjust/9,1.3003585094266849e-4,1.298164268602028e-4,1.3034642443011217e-4,8.734318529541502e-7,6.431353600805433e-7,1.2164588510047644e-6
adjust/LocallyNameless.UnboundRep/adjust/10,1.7541239145499194e-4,1.7503777848058703e-4,1.7616331845898752e-4,1.7263993988130187e-6,1.093220850315911e-6,3.1110615735260693e-6
adjust/LocallyNameless.UnboundRep/adjust/11,2.2763687015803075e-4,2.2723284318617462e-4,2.282743562602179e-4,1.7987740403960179e-6,1.3331597804568786e-6,2.3687700860547257e-6
adjust/LocallyNameless.UnboundRep/adjust/12,2.919573405602108e-4,2.913707960895425e-4,2.9279334039494066e-4,2.4634174357364645e-6,1.8073916024329874e-6,3.822922746868626e-6
adjust/LocallyNameless.UnboundRep/adjust/13,3.705823045607958e-4,3.6981869073193503e-4,3.71598172642174e-4,3.0016862567141357e-6,2.1565375889149154e-6,4.540019672675377e-6
adjust/LocallyNameless.UnboundRep/adjust/14,4.5679683629789664e-4,4.560504779822967e-4,4.576178295555103e-4,2.5519078279971104e-6,2.0131698088615204e-6,3.3965103029678964e-6
adjust/LocallyNameless.UnboundRep/adjust/15,5.584476793106837e-4,5.575719255242383e-4,5.596549283638492e-4,3.664290348250203e-6,2.857298780953136e-6,5.063190311274139e-6
adjust/LocallyNameless.UnboundRep/adjust/16,6.740040156365864e-4,6.726428931299237e-4,6.759020914864446e-4,4.949646507367428e-6,4.0291765107304965e-6,6.819471357878138e-6
adjust/LocallyNameless.UnboundRep/adjust/17,7.968833275987407e-4,7.949360660811168e-4,8.001239094632145e-4,8.221369973128109e-6,5.748684653270894e-6,1.1661531658478366e-5
adjust/LocallyNameless.UnboundRep/adjust/18,9.403458337236191e-4,9.384550181194228e-4,9.420585440906771e-4,6.075626299577477e-6,4.879474549191384e-6,7.382948359592442e-6
adjust/LocallyNameless.UnboundRep/adjust/19,1.1071340280196912e-3,1.1052180218229467e-3,1.1099658259069516e-3,7.826640841675457e-6,5.507675093262713e-6,1.206404594741978e-5
adjust/LocallyNameless.UnboundRep/adjust/20,1.2858255847591885e-3,1.2836079016442293e-3,1.2885862273118972e-3,8.12480937937356e-6,6.202679012631316e-6,1.2002226071636852e-5
