Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.UnboundRep/adjust/1,4.4322921073872525e-7,4.425165186301612e-7,4.4543572096405567e-7,3.568479243413885e-9,9.455968815485254e-10,7.40952209687357e-9
adjust/LocallyNameless.UnboundRep/adjust/2,2.5737577613022957e-6,2.569978256561096e-6,2.5804958097898392e-6,1.72232497214258e-8,1.0272178693845753e-8,2.976045032069667e-8
adjust/LocallyNameless.UnboundRep/adjust/3,6.991073713534403e-6,6.981363876087175e-6,7.007920456595384e-6,4.126017443973217e-8,2.895391063962003e-8,6.160755690303071e-8
adjust/LocallyNameless.UnboundRep/adjust/4,1.4641718592455032e-5,1.4611558248608448e-5,1.4796443222873783e-5,1.825192587485921e-7,5.24664529365055e-8,3.9591444124341897e-7
adjust/LocallyNameless.UnboundRep/adjust/5,2.6501878283169814e-5,2.6424928501456364e-5,2.6658854737569088e-5,3.594775611558939e-7,2.0634461290635168e-7,5.500113106670931e-7
adjust/LocallyNameless.UnboundRep/adjust/6,4.253928775499665e-5,4.249067947256841e-5,4.262328602868939e-5,2.051961489897515e-7,1.412244796274213e-7,2.973122136633992e-7
adjust/LocallyNameless.UnboundRep/adjust/7,6.555273590961487e-5,6.544672154375668e-5,6.588903028522259e-5,5.487679450121917e-7,1.5055973638346414e-7,1.0767892712773395e-6
adjust/LocallyNameless.UnboundRep/adjust/8,9.527267255900758e-5,9.51235402630981e-5,9.557735529336071e-5,6.942740757849334e-7,4.528431512580553e-7,1.1105923227556505e-6
adjust/LocallyNameless.UnboundRep/adjust/9,1.3279160221101822e-4,1.3251863582209683e-4,1.3312808930032385e-4,1.008670262072629e-6,7.74417678849109e-7,1.3206619020807548e-6
adjust/LocallyNameless.UnboundRep/adjust/10,1.793693944232285e-4,1.785587619754302e-4,1.8268513903362484e-4,4.394484526941946e-6,1.3165217246699197e-6,9.517617902997798e-6
