Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParScoped/ids/1,4.256151050441135e-8,4.249315550270762e-8,4.2660274108513835e-8,2.6790401525342185e-10,2.0794634718152027e-10,4.1897720684161495e-10
ids/LocallyNameless.ParScoped/ids/2,5.2076320124052494e-8,5.2015333487501134e-8,5.217440076966856e-8,2.620470939092756e-10,1.7954703786591151e-10,4.1652855055118065e-10
ids/LocallyNameless.ParScoped/ids/3,6.147469159646687e-8,6.138885910650718e-8,6.159892517753129e-8,3.3718473622509767e-10,2.421867976936381e-10,5.141204590389872e-10
ids/LocallyNameless.ParScoped/ids/4,8.200271693204448e-8,8.186539718431333e-8,8.21887660224776e-8,5.688097787591902e-10,4.26636250600547e-10,9.005818947199069e-10
ids/LocallyNameless.ParScoped/ids/5,8.947013408824227e-8,8.929382550844973e-8,8.973621284011109e-8,7.269514701934237e-10,4.6070655477047507e-10,1.0799350762718425e-9
ids/LocallyNameless.ParScoped/ids/6,9.628306822821463e-8,9.613817003414033e-8,9.646710797184746e-8,5.546198749010633e-10,4.407162848897286e-10,7.226513365586058e-10
ids/LocallyNameless.ParScoped/ids/7,1.0357240767942007e-7,1.033673983923698e-7,1.0381340819748898e-7,7.453955120794379e-10,6.357697281282968e-10,9.04374038888718e-10
ids/LocallyNameless.ParScoped/ids/8,1.111135810500418e-7,1.1105252877252488e-7,1.1118982632667273e-7,2.3770628712343766e-10,1.8260730556453282e-10,3.3100168195433195e-10
ids/LocallyNameless.ParScoped/ids/9,1.2000149922526113e-7,1.198249223444416e-7,1.2021656214586548e-7,6.540969134100794e-10,4.973510825655004e-10,8.62660095710025e-10
ids/LocallyNameless.ParScoped/ids/10,1.2995014752214105e-7,1.297062189397312e-7,1.3027229532068887e-7,9.228436655886436e-10,7.182185802029184e-10,1.2655935085341358e-9
