Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.ParScoped/adjustb/1,1.6580257977078744e-7,1.656091551870574e-7,1.6611038990320722e-7,7.84283168452929e-10,5.429889947079831e-10,1.2493872817126924e-9
adjustb/LocallyNameless.ParScoped/adjustb/2,5.885303336001456e-7,5.866610792172306e-7,5.923001817443795e-7,8.627166015710067e-9,4.602379780234384e-9,1.5570196326377722e-8
adjustb/LocallyNameless.ParScoped/adjustb/3,1.3380454439445128e-6,1.3353206676092082e-6,1.343485714254665e-6,1.2404720312335893e-8,7.64401158558934e-9,1.9402528615785584e-8
adjustb/LocallyNameless.ParScoped/adjustb/4,2.406246858871909e-6,2.4025786973315878e-6,2.4113412513989363e-6,1.4547472404964577e-8,9.72303053282061e-9,2.193386156558573e-8
adjustb/LocallyNameless.ParScoped/adjustb/5,4.0798428256866855e-6,4.0736573533003836e-6,4.090138528538102e-6,2.548910178147568e-8,1.7943648117920792e-8,3.842689250983268e-8
adjustb/LocallyNameless.ParScoped/adjustb/6,6.177557291992064e-6,6.172042524571134e-6,6.188691007400644e-6,2.670857740399903e-8,1.5883206652294895e-8,4.623523956086166e-8
adjustb/LocallyNameless.ParScoped/adjustb/7,8.98761042844374e-6,8.981393961375588e-6,9.009886070522842e-6,3.436624846435223e-8,1.5793739469226986e-8,7.055294011501759e-8
adjustb/LocallyNameless.ParScoped/adjustb/8,1.2084021257445384e-5,1.2063798017075978e-5,1.2112725125893064e-5,7.845543664957413e-8,5.405988835481868e-8,1.1695988400803032e-7
adjustb/LocallyNameless.ParScoped/adjustb/9,1.5785941644225863e-5,1.5757385902737857e-5,1.58384511345929e-5,1.2676857203031536e-7,8.829529680657655e-8,2.0125235748072763e-7
adjustb/LocallyNameless.ParScoped/adjustb/10,2.0261640537976824e-5,2.0252967302386483e-5,2.027585019183259e-5,3.671017663851376e-8,2.6750665109985092e-8,5.634874466126681e-8
adjustb/LocallyNameless.ParScoped/adjustb/11,2.5579875668746082e-5,2.554425988190859e-5,2.570087129434838e-5,1.91780759865344e-7,8.219261740664855e-8,4.039697681200488e-7
adjustb/LocallyNameless.ParScoped/adjustb/12,3.1754999109924765e-5,3.172335808352609e-5,3.180979964070732e-5,1.2875379604687816e-7,8.430944580780336e-8,2.0570961149112045e-7
adjustb/LocallyNameless.ParScoped/adjustb/13,3.878330130516779e-5,3.874311855601848e-5,3.889579619596563e-5,2.0264089587327242e-7,9.383745335414189e-8,3.8317340127315437e-7
adjustb/LocallyNameless.ParScoped/adjustb/14,4.686850202650053e-5,4.682238235675229e-5,4.6976477596332415e-5,2.3751031866202274e-7,1.2547273993110595e-7,4.3210323777245334e-7
adjustb/LocallyNameless.ParScoped/adjustb/15,5.621811211325325e-5,5.586948434380405e-5,5.75289513298415e-5,1.9216640114442406e-6,4.609378969818873e-7,4.17100053732312e-6
adjustb/LocallyNameless.ParScoped/adjustb/16,6.545637620009437e-5,6.536830783044962e-5,6.564882489455332e-5,4.0631692502553806e-7,1.681584923424902e-7,6.88293698221123e-7
adjustb/LocallyNameless.ParScoped/adjustb/17,7.770453049195478e-5,7.754067697296734e-5,7.797920273709437e-5,6.711720476692203e-7,4.538097944626897e-7,9.491724689190333e-7
adjustb/LocallyNameless.ParScoped/adjustb/18,9.032517036748494e-5,9.019948835225944e-5,9.053964178445798e-5,5.416925240389921e-7,3.5849298195843455e-7,8.717337335486574e-7
adjustb/LocallyNameless.ParScoped/adjustb/19,1.041911803421495e-4,1.0406103485403789e-4,1.0445982667428504e-4,6.313460243599393e-7,3.957295172737088e-7,1.0617203070589029e-6
adjustb/LocallyNameless.ParScoped/adjustb/20,1.19368046466718e-4,1.1914572443971283e-4,1.1976062357982031e-4,9.48120926303962e-7,6.656165053262484e-7,1.4970823896462006e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.ParScoped/adjustb/1,1.686337334968623e-7,1.6834502836639658e-7,1.689131629806246e-7,1.0242843182220426e-9,8.299529695846269e-10,1.2561425410306924e-9
adjustb/LocallyNameless.ParScoped/adjustb/2,6.720318623228434e-7,6.629849235031173e-7,6.795362584529433e-7,2.6873966674373326e-8,2.135660784044143e-8,3.520039264886047e-8
adjustb/LocallyNameless.ParScoped/adjustb/3,1.6189378495930444e-6,1.5971645899426677e-6,1.6340618994146098e-6,6.430117676350286e-8,5.270600896678458e-8,8.876488227300736e-8
adjustb/LocallyNameless.ParScoped/adjustb/4,2.8026435221679092e-6,2.765456040845566e-6,2.839586245285952e-6,1.2623389767751885e-7,9.973152020622032e-8,1.6056903038100867e-7
adjustb/LocallyNameless.ParScoped/adjustb/5,4.737881973762428e-6,4.661530562092358e-6,4.806728909669816e-6,2.413956964373156e-7,1.9580359466533173e-7,2.9188451829006704e-7
adjustb/LocallyNameless.ParScoped/adjustb/6,7.093322980166514e-6,6.99475381588246e-6,7.177786621187594e-6,3.0584105952585676e-7,2.623245315867578e-7,3.9475809233070277e-7
adjustb/LocallyNameless.ParScoped/adjustb/7,9.838457995367774e-6,9.759927842572914e-6,9.92657628478478e-6,2.794670161795472e-7,2.2758043481528048e-7,3.4571987312822e-7
adjustb/LocallyNameless.ParScoped/adjustb/8,1.3832453507913025e-5,1.3687926267952499e-5,1.392964166071276e-5,3.9703307475210166e-7,2.5432094092411616e-7,6.032906881736712e-7
adjustb/LocallyNameless.ParScoped/adjustb/9,1.777379413536338e-5,1.7590236477909096e-5,1.7936625648247696e-5,6.060054521416392e-7,4.967332133561601e-7,7.277157491995965e-7
adjustb/LocallyNameless.ParScoped/adjustb/10,2.1986538345324532e-5,2.1835662300766988e-5,2.217118693615344e-5,5.724814680896296e-7,4.945455661158523e-7,6.658890069044534e-7
adjustb/LocallyNameless.ParScoped/adjustb/11,2.780990380076407e-5,2.7631697912010112e-5,2.7984475118267688e-5,5.850622235690054e-7,4.916645473073847e-7,7.236846912199798e-7
adjustb/LocallyNameless.ParScoped/adjustb/12,3.4283090910033066e-5,3.4030627246412557e-5,3.4535357295202065e-5,8.341294676495635e-7,6.734783040789043e-7,1.0584116993710247e-6
adjustb/LocallyNameless.ParScoped/adjustb/13,3.953756521764272e-5,3.9459433761035834e-5,3.968401790989649e-5,3.498682832629546e-7,2.3201536603300573e-7,5.791152815208238e-7
adjustb/LocallyNameless.ParScoped/adjustb/14,4.741729891308816e-5,4.7342019830759995e-5,4.750158175044562e-5,2.729467340994951e-7,2.1648324816450888e-7,3.4349265417555415e-7
adjustb/LocallyNameless.ParScoped/adjustb/15,6.0016694778607404e-5,5.929179083362625e-5,6.076736062039987e-5,2.573182292221088e-6,2.32916212187121e-6,2.7839102477649526e-6
adjustb/LocallyNameless.ParScoped/adjustb/16,6.668835471963615e-5,6.656602467928223e-5,6.683233943765419e-5,4.4655443419435396e-7,3.5581377431585254e-7,5.58646001239071e-7
adjustb/LocallyNameless.ParScoped/adjustb/17,7.85179398169883e-5,7.840147019733193e-5,7.866453706919678e-5,4.398500074106154e-7,3.2901471384494284e-7,6.731780588524361e-7
adjustb/LocallyNameless.ParScoped/adjustb/18,9.435885483265856e-5,9.388849882049006e-5,9.488322829407161e-5,1.7340014186636608e-6,1.4159001392535591e-6,2.1065608868079166e-6
adjustb/LocallyNameless.ParScoped/adjustb/19,1.1070216863368793e-4,1.0996104293252265e-4,1.114534666097742e-4,2.457721904528752e-6,1.9829281917170074e-6,3.2198778509470538e-6
adjustb/LocallyNameless.ParScoped/adjustb/20,1.2908598060417726e-4,1.28437887507809e-4,1.295159130577453e-4,1.7921420549332872e-6,1.2838993153090589e-6,2.9290261855555853e-6
