Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Ott/ids/1,3.3612434334599815e-8,3.355893268089152e-8,3.369429811307354e-8,2.2065650179653128e-10,1.5872925020418074e-10,3.485676070687758e-10
ids/LocallyNameless.Ott/ids/2,4.1034572434099395e-8,4.095615982680796e-8,4.112211610131744e-8,3.008731895903106e-10,2.6064807413134805e-10,3.7073117198963765e-10
ids/LocallyNameless.Ott/ids/3,4.6310070954418366e-8,4.625844834819878e-8,4.644247784264849e-8,2.583831815527912e-10,1.019366962372372e-10,5.537047013475346e-10
ids/LocallyNameless.Ott/ids/4,5.227963911378448e-8,5.2206948774434053e-8,5.237883500433226e-8,2.6967581178485527e-10,2.0882904378724613e-10,3.552909515846266e-10
ids/LocallyNameless.Ott/ids/5,6.961535901618546e-8,6.951918321872503e-8,6.973886979160199e-8,3.832468545634723e-10,2.9726741905578505e-10,5.298892689409112e-10
ids/LocallyNameless.Ott/ids/6,6.961187456783884e-8,6.95658779633939e-8,6.967701674027174e-8,1.9136677189235814e-10,1.3696711402946838e-10,2.940681484662191e-10
ids/LocallyNameless.Ott/ids/7,7.570823446293589e-8,7.556956649951212e-8,7.592742002030495e-8,5.623183657930293e-10,3.691992854700989e-10,9.182683425701436e-10
ids/LocallyNameless.Ott/ids/8,8.21597492187964e-8,8.198130150416477e-8,8.245073378886052e-8,7.666785850362579e-10,5.357107217354176e-10,1.1233969841500554e-9
ids/LocallyNameless.Ott/ids/9,8.695447482783807e-8,8.683696057524907e-8,8.725459742220544e-8,6.183957449007645e-10,2.669390270287184e-10,1.0089282106615055e-9
ids/LocallyNameless.Ott/ids/10,9.339311151901903e-8,9.315856191425618e-8,9.375410243862183e-8,9.606717465690871e-10,6.490878292241219e-10,1.4318462411351941e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Ott/ids/1,4.923427853010626e-8,4.909508042994833e-8,4.942266729336995e-8,5.235480177711311e-10,3.842266101869225e-10,7.151786072766987e-10
ids/LocallyNameless.Ott/ids/2,6.216182127583326e-8,6.199616162294221e-8,6.248901905118439e-8,7.387926188537491e-10,3.5229851782513764e-10,1.4486781358782175e-9
ids/LocallyNameless.Ott/ids/3,7.426530243347887e-8,7.422155325731656e-8,7.432958305810388e-8,1.8262670354304566e-10,1.320572486483913e-10,2.656070955492994e-10
ids/LocallyNameless.Ott/ids/4,8.84652159256052e-8,8.829079028338038e-8,8.88316601708524e-8,7.707649213366262e-10,4.4952106648135413e-10,1.35938068305398e-9
ids/LocallyNameless.Ott/ids/5,1.0769142121307728e-7,1.0758956397472105e-7,1.0781781614158168e-7,3.7428579737424435e-10,2.8533709398314786e-10,6.050576068630493e-10
ids/LocallyNameless.Ott/ids/6,1.201359693545984e-7,1.200475702329051e-7,1.2023630038987798e-7,3.1619057693460397e-10,2.496938835588315e-10,3.946182398909043e-10
ids/LocallyNameless.Ott/ids/7,1.4187126965183387e-7,1.4169557183644316e-7,1.4229259651644142e-7,8.812251217852445e-10,4.5480552262837524e-10,1.7244393811071443e-9
ids/LocallyNameless.Ott/ids/8,1.5046956746539914e-7,1.5012121581804672e-7,1.510805722634397e-7,1.5008269580734527e-9,1.0821432566399551e-9,2.213602133116568e-9
ids/LocallyNameless.Ott/ids/9,1.6230424962755006e-7,1.621419544895996e-7,1.6290215143949536e-7,8.767610009912361e-10,3.022680607446172e-10,1.75014908018229e-9
ids/LocallyNameless.Ott/ids/10,1.812188293660162e-7,1.8102514664645763e-7,1.816370176485473e-7,9.47113857875564e-10,5.738891935465977e-10,1.6485287249673335e-9
