Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Lennart/ids/1,3.1479270126342316e-8,3.1432738272377225e-8,3.156597517760621e-8,2.0518807466010195e-10,1.3426224422636703e-10,3.330169426827294e-10
ids/DeBruijn.Lazy.Lennart/ids/2,4.663508375981554e-8,4.6534854395358464e-8,4.674116079688999e-8,3.521809902849468e-10,2.6682835383251393e-10,4.3784784061765296e-10
ids/DeBruijn.Lazy.Lennart/ids/3,6.10884279957242e-8,6.100931812132048e-8,6.123850631764665e-8,3.5147630304217985e-10,2.1513973478447153e-10,5.893057098434858e-10
ids/DeBruijn.Lazy.Lennart/ids/4,8.464835415158436e-8,8.449801058969309e-8,8.488334303165886e-8,6.575143414184017e-10,4.4955501709453853e-10,1.0506236445157201e-9
ids/DeBruijn.Lazy.Lennart/ids/5,9.724873109630602e-8,9.709871073196049e-8,9.749381225626626e-8,6.321859235989824e-10,4.867361993257508e-10,9.369188760790418e-10
ids/DeBruijn.Lazy.Lennart/ids/6,1.1215827054181628e-7,1.1204543624596687e-7,1.1232055265338874e-7,4.454358189773406e-10,3.304534947790917e-10,6.793460338588104e-10
ids/DeBruijn.Lazy.Lennart/ids/7,1.2731914249487486e-7,1.271539060954426e-7,1.2755725537556624e-7,6.406677844852298e-10,4.815295990259304e-10,8.917379955263946e-10
ids/DeBruijn.Lazy.Lennart/ids/8,1.4408594877829284e-7,1.43827572608035e-7,1.444242714990516e-7,1.001839164009557e-9,7.616052465616641e-10,1.5118880327697028e-9
ids/DeBruijn.Lazy.Lennart/ids/9,1.574349937317072e-7,1.571916895240439e-7,1.5787783394070776e-7,1.0220820779388487e-9,6.733484500283316e-10,1.7243102366502155e-9
ids/DeBruijn.Lazy.Lennart/ids/10,1.7276742272334056e-7,1.724500054313818e-7,1.7321611589164755e-7,1.2874069928134818e-9,9.088547527146588e-10,1.7646885662132673e-9
