Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Kit/con/1,2.235420324513157e-8,2.227874594315786e-8,2.2475422930663587e-8,3.1254002823370916e-10,2.24116337984618e-10,4.754685734301696e-10
con/DeBruijn.Lazy.Kit/con/2,4.375293953416302e-8,4.370157197113345e-8,4.382455200140324e-8,1.9885677287715847e-10,1.4884535160608283e-10,2.7091488265079346e-10
con/DeBruijn.Lazy.Kit/con/3,6.563189991784998e-8,6.555118083509814e-8,6.570126770437401e-8,2.4177847224762997e-10,1.9122954059255077e-10,3.04150845574985e-10
con/DeBruijn.Lazy.Kit/con/4,8.716049220370426e-8,8.700100355616157e-8,8.737286192044389e-8,6.169972787359192e-10,4.399456053318039e-10,9.231344021733258e-10
con/DeBruijn.Lazy.Kit/con/5,1.1552244735894767e-7,1.1529977635179428e-7,1.1578586117187515e-7,7.768717982446159e-10,5.901900547619076e-10,1.1168056115249e-9
con/DeBruijn.Lazy.Kit/con/6,1.3042141688298156e-7,1.3020802954304232e-7,1.3078198521744367e-7,9.453909407042242e-10,6.383257233310325e-10,1.5702495956311764e-9
con/DeBruijn.Lazy.Kit/con/7,1.512434871910781e-7,1.507798440165658e-7,1.5182792310078015e-7,1.7096073978192147e-9,1.3701958659641003e-9,2.472394948263029e-9
con/DeBruijn.Lazy.Kit/con/8,1.8829346492738873e-7,1.8803140874541493e-7,1.886326378744553e-7,9.728765532908067e-10,7.901846777568821e-10,1.2289323193855407e-9
con/DeBruijn.Lazy.Kit/con/9,2.053954222969124e-7,2.0509191889867762e-7,2.0573272130336967e-7,1.1150813432151692e-9,8.488853269035757e-10,1.3896268309671113e-9
con/DeBruijn.Lazy.Kit/con/10,2.6459212507556804e-7,2.6414651743709643e-7,2.651137035799923e-7,1.6231891111936328e-9,1.2749328877984362e-9,2.164551927946867e-9
con/DeBruijn.Lazy.Kit/con/11,2.714283116059335e-7,2.708105174916667e-7,2.7226792405600685e-7,2.288117161353899e-9,1.787135675505467e-9,3.0125752024834548e-9
con/DeBruijn.Lazy.Kit/con/12,2.9072241920649434e-7,2.9027158258017065e-7,2.921084605377106e-7,2.5032599165056607e-9,9.983189854194456e-10,4.855613793391596e-9
con/DeBruijn.Lazy.Kit/con/13,3.107932514439001e-7,3.10206916521901e-7,3.1211731901776676e-7,2.735326904842351e-9,1.787747655756449e-9,4.757404613107744e-9
con/DeBruijn.Lazy.Kit/con/14,3.318937867690985e-7,3.3134529891017544e-7,3.326850402600756e-7,2.0638060881899227e-9,1.7027307507583751e-9,3.011026323846237e-9
con/DeBruijn.Lazy.Kit/con/15,3.535276555944034e-7,3.532549774387088e-7,3.5394510881895296e-7,1.1818575895282135e-9,8.805231207705435e-10,1.6138062138778768e-9
con/DeBruijn.Lazy.Kit/con/16,3.765769498774794e-7,3.7604538867136036e-7,3.7725531989532245e-7,1.968167122753425e-9,1.533193652267969e-9,2.4722785493194475e-9
con/DeBruijn.Lazy.Kit/con/17,3.9861907021935937e-7,3.979926282540057e-7,3.9938523874896947e-7,2.289456221816349e-9,1.904137887835673e-9,2.803289647363066e-9
con/DeBruijn.Lazy.Kit/con/18,4.201000395794581e-7,4.1932632176501086e-7,4.215125495740871e-7,3.5437720352312546e-9,2.417184846948377e-9,5.75400381503871e-9
con/DeBruijn.Lazy.Kit/con/19,4.383627722839199e-7,4.3738607019395933e-7,4.3975902713771885e-7,3.864871827648469e-9,2.7092493518891264e-9,5.1599512277741646e-9
con/DeBruijn.Lazy.Kit/con/20,4.615785252316985e-7,4.60793685457731e-7,4.626116789814353e-7,3.209601738603397e-9,2.6012351038035345e-9,4.5956857233422066e-9
