Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lift/adjust/1,2.5078959735051697e-8,2.5031216891980748e-8,2.5144127998852682e-8,1.8287847527094944e-10,1.3496881386706388e-10,2.4695681955068965e-10
adjust/DeBruijn.Lazy.Lift/adjust/2,1.0285014285168097e-7,1.0265372904522489e-7,1.0312421164354482e-7,7.619119877321273e-10,5.756638539993487e-10,1.0429399703207862e-9
adjust/DeBruijn.Lazy.Lift/adjust/3,2.6332653925074114e-7,2.6294999156425246e-7,2.638559152170727e-7,1.4339443041392776e-9,1.1603268624554343e-9,2.1002395505907096e-9
adjust/DeBruijn.Lazy.Lift/adjust/4,4.737648284816435e-7,4.7319336817956067e-7,4.748714748100012e-7,2.4098785579084194e-9,1.553600792939807e-9,4.050878389836096e-9
adjust/DeBruijn.Lazy.Lift/adjust/5,7.669182239742242e-7,7.660074752167913e-7,7.677910067235788e-7,3.0858298332145882e-9,2.542184231561375e-9,4.071340262580002e-9
adjust/DeBruijn.Lazy.Lift/adjust/6,1.129853365503796e-6,1.1271035695966124e-6,1.1343967559790173e-6,1.1626854925284852e-8,7.563619531538872e-9,1.725519713862156e-8
adjust/DeBruijn.Lazy.Lift/adjust/7,1.5856288279503307e-6,1.5818419286371925e-6,1.5911231660245649e-6,1.5490657996502323e-8,1.1261154514599078e-8,2.2120234225215827e-8
adjust/DeBruijn.Lazy.Lift/adjust/8,2.119500016902149e-6,2.1176293675196663e-6,2.1229299344051947e-6,8.399251553360882e-9,5.120275500217525e-9,1.4672251567335685e-8
adjust/DeBruijn.Lazy.Lift/adjust/9,2.8213622528852435e-6,2.8171598252824492e-6,2.827813888816707e-6,1.7598260185977555e-8,1.1434808245684531e-8,2.661147793986651e-8
adjust/DeBruijn.Lazy.Lift/adjust/10,3.703071471236086e-6,3.6976715061442793e-6,3.7112965212816994e-6,2.234067558430679e-8,1.7121877376027303e-8,3.050589205343064e-8
adjust/DeBruijn.Lazy.Lift/adjust/11,4.724440528094937e-6,4.718768782630754e-6,4.733614176572074e-6,2.374221215785305e-8,1.6118442044335436e-8,3.871463160818735e-8
adjust/DeBruijn.Lazy.Lift/adjust/12,5.925790816335088e-6,5.913290755451214e-6,5.94057949720206e-6,4.628962403223177e-8,4.074011485048142e-8,5.2727591105901194e-8
adjust/DeBruijn.Lazy.Lift/adjust/13,7.0647408142904115e-6,7.046351383087395e-6,7.1007857560323815e-6,8.21641358855324e-8,5.4956493661228516e-8,1.3875323479053344e-7
adjust/DeBruijn.Lazy.Lift/adjust/14,8.398461041413947e-6,8.39483650991251e-6,8.403802084120212e-6,1.4273747351896413e-8,1.0612743049593117e-8,1.905372602010277e-8
adjust/DeBruijn.Lazy.Lift/adjust/15,1.0019715651728567e-5,1.000320922067529e-5,1.004369706630182e-5,7.056718789179291e-8,5.5283368152654856e-8,8.990631437605722e-8
adjust/DeBruijn.Lazy.Lift/adjust/16,1.1771604571809923e-5,1.17518013281451e-5,1.1803030024442204e-5,8.165420567112811e-8,5.4470374044103256e-8,1.1760206730856244e-7
adjust/DeBruijn.Lazy.Lift/adjust/17,1.35935218687107e-5,1.3574025238717355e-5,1.3618253959851338e-5,7.43734779058643e-8,5.714279730995108e-8,9.658943153508405e-8
adjust/DeBruijn.Lazy.Lift/adjust/18,1.5616994641967023e-5,1.5589667424092992e-5,1.5663722557736122e-5,1.1311764481061739e-7,7.554530887729721e-8,1.9144352922412088e-7
adjust/DeBruijn.Lazy.Lift/adjust/19,1.8062368746867016e-5,1.8029404237006457e-5,1.8116399201159207e-5,1.396007160398022e-7,1.0361606086317506e-7,1.9722971290488814e-7
adjust/DeBruijn.Lazy.Lift/adjust/20,2.0395860629658424e-5,2.0376478121953714e-5,2.044039112579977e-5,9.605712570024714e-8,5.49551392999388e-8,1.6769368659786012e-7
