Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/Named.SimpleM/adjust/1,1.1144132687303113e-7,1.1139911059575859e-7,1.1149752719297008e-7,1.713974251991151e-10,1.3662424684410087e-10,2.4747019969166857e-10
adjust/Named.SimpleM/adjust/2,6.383407309593548e-7,6.377242612309632e-7,6.398540550224239e-7,3.181614714827488e-9,1.3356494179075976e-9,6.592741648619432e-9
adjust/Named.SimpleM/adjust/3,1.5536347182696809e-6,1.5521526715459255e-6,1.555562267237341e-6,5.546672678674715e-9,4.020221305233097e-9,7.549278535553718e-9
adjust/Named.SimpleM/adjust/4,2.6988963563305877e-6,2.69709965983064e-6,2.701830694924827e-6,7.344772885389126e-9,5.419754898943266e-9,1.0020024203956052e-8
adjust/Named.SimpleM/adjust/5,4.293849031764434e-6,4.2903377007235815e-6,4.297909793700299e-6,1.2517391145943892e-8,9.575961370350977e-9,1.7148029264536372e-8
adjust/Named.SimpleM/adjust/6,6.0959041157931525e-6,6.09249142687199e-6,6.100467830797802e-6,1.3725802548987867e-8,9.390816250785121e-9,2.254365124132797e-8
adjust/Named.SimpleM/adjust/7,8.361866013894373e-6,8.357369292743844e-6,8.367254613314583e-6,1.6759416149337614e-8,1.3010437817767346e-8,2.2256671310776745e-8
adjust/Named.SimpleM/adjust/8,1.102793960667865e-5,1.101900667754042e-5,1.1039719734201242e-5,3.418982506050022e-8,2.379886485460602e-8,4.850780583111383e-8
adjust/Named.SimpleM/adjust/9,1.4123541472859799e-5,1.4114571849316263e-5,1.4138075235642126e-5,3.7396297799134907e-8,2.67468916102566e-8,5.012991477579724e-8
adjust/Named.SimpleM/adjust/10,1.7705410780342037e-5,1.7694118683387655e-5,1.7724264700487222e-5,5.01044605820947e-8,3.3360860783767e-8,7.237361134619395e-8
adjust/Named.SimpleM/adjust/11,2.1765705135815256e-5,2.1756365585339223e-5,2.1780847829598263e-5,3.995557075867456e-8,2.5682913556792166e-8,6.917160949411388e-8
adjust/Named.SimpleM/adjust/12,2.6270458595420957e-5,2.6254787632801543e-5,2.6290180639588253e-5,5.958692351938556e-8,4.4160396526140716e-8,7.805557874390805e-8
adjust/Named.SimpleM/adjust/13,3.133543716159611e-5,3.1316490512161965e-5,3.137086321203296e-5,8.572663716412316e-8,6.074083159928912e-8,1.1758052627741123e-7
