Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/Named.SimpleH/adjust/1,6.662777379843831e-8,6.622560259598153e-8,6.683116920014157e-8,9.160693745294619e-10,5.514652069053252e-10,1.6508053940782103e-9
adjust/Named.SimpleH/adjust/2,2.4400279513285954e-7,2.430378690263996e-7,2.451091920206998e-7,3.434844779230972e-9,2.965856883565108e-9,4.123190348764608e-9
adjust/Named.SimpleH/adjust/3,5.538423579483136e-7,5.526979084693959e-7,5.552108401898622e-7,4.193041874535707e-9,3.4898240634365907e-9,5.179976457937554e-9
adjust/Named.SimpleH/adjust/4,9.801805047469397e-7,9.775760158976668e-7,9.82852320665691e-7,9.29124458972642e-9,7.960866964788738e-9,1.1149523577049903e-8
adjust/Named.SimpleH/adjust/5,1.480311013668615e-6,1.4719494204225752e-6,1.4866470570729941e-6,2.399591908175199e-8,1.6994398226418813e-8,3.4023109114201665e-8
adjust/Named.SimpleH/adjust/6,2.1222045347377842e-6,2.111064757667561e-6,2.1322086154352687e-6,3.3942032002733995e-8,2.6896782910928523e-8,4.329129332198739e-8
adjust/Named.SimpleH/adjust/7,2.893039783778681e-6,2.8799787147495446e-6,2.9054059212944748e-6,4.26148276260334e-8,3.577012453179089e-8,5.158418467023578e-8
adjust/Named.SimpleH/adjust/8,3.7716065123426912e-6,3.7537871697007803e-6,3.7869876613062663e-6,5.3201793875556126e-8,4.16149895857815e-8,8.247822522250673e-8
adjust/Named.SimpleH/adjust/9,4.81952569814488e-6,4.803851075705952e-6,4.833611130480368e-6,4.784140408943467e-8,3.80819924779774e-8,6.167934142099036e-8
adjust/Named.SimpleH/adjust/10,6.093007277041181e-6,6.071405757549434e-6,6.111862437233506e-6,6.606515917407279e-8,5.551076993877836e-8,7.976223545832539e-8
adjust/Named.SimpleH/adjust/11,7.456197459171313e-6,7.4285029255550205e-6,7.483376894425817e-6,9.217318604369274e-8,7.187179857662126e-8,1.2566612197974927e-7
adjust/Named.SimpleH/adjust/12,9.03441407820108e-6,8.994995004774292e-6,9.064754132063762e-6,1.1423235456960116e-7,8.905317378765557e-8,1.4684767413969037e-7
adjust/Named.SimpleH/adjust/13,1.0806650666891895e-5,1.0753438173272478e-5,1.0843285364956657e-5,1.42525022580357e-7,1.1341501886263294e-7,2.044075935605682e-7
adjust/Named.SimpleH/adjust/14,1.2719922391480619e-5,1.2651717799392463e-5,1.2768008114838642e-5,1.90661805945741e-7,1.3599724951670818e-7,3.2096402448186584e-7
adjust/Named.SimpleH/adjust/15,1.427856756485279e-5,1.4018613423860346e-5,1.4518536969449307e-5,8.817961316658864e-7,8.338933135864535e-7,9.269636795002423e-7
adjust/Named.SimpleH/adjust/16,1.5455935389095628e-5,1.5444924469596598e-5,1.549105380612219e-5,5.950844907853006e-8,2.144486632176935e-8,1.1811206373468619e-7
adjust/Named.SimpleH/adjust/17,1.8014454275212066e-5,1.8003432489337465e-5,1.804520929189642e-5,5.580560172057874e-8,2.7395707667104523e-8,1.0252149802733709e-7
adjust/Named.SimpleH/adjust/18,2.0898220720378856e-5,2.08889973307334e-5,2.091199342473258e-5,3.901936742635237e-8,2.8188347382737418e-8,5.370874655698111e-8
adjust/Named.SimpleH/adjust/19,2.3743218031752364e-5,2.3703943473943035e-5,2.3815989303372392e-5,1.7775018421225247e-7,4.657688487856111e-8,3.153429227369287e-7
adjust/Named.SimpleH/adjust/20,2.677876894968698e-5,2.6768214587157815e-5,2.6796033779629165e-5,4.4503459464585404e-8,3.27822632815215e-8,7.071512754388022e-8
