Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.Fun/ids/1,2.316199417293714e-8,2.312087633219193e-8,2.321873123758308e-8,1.6299349482235322e-10,1.2077009956851762e-10,2.215977012324196e-10
ids/DeBruijn.Par.Fun/ids/2,3.36156108807464e-8,3.358110210724591e-8,3.369798556091823e-8,1.6036542111070517e-10,1.1070634896103169e-10,2.620607947605523e-10
ids/DeBruijn.Par.Fun/ids/3,4.329345481116888e-8,4.324814195568466e-8,4.335264247054381e-8,1.779963618497584e-10,1.4118523718617834e-10,2.339172495080418e-10
ids/DeBruijn.Par.Fun/ids/4,6.231576175652317e-8,6.22307989481114e-8,6.24292086521452e-8,3.234840894470045e-10,2.4303616018980484e-10,4.435295825783848e-10
ids/DeBruijn.Par.Fun/ids/5,6.945284286782148e-8,6.938592993196653e-8,6.952791216975395e-8,2.3229923780715235e-10,1.849396167504727e-10,3.509040545336212e-10
ids/DeBruijn.Par.Fun/ids/6,7.945710441199218e-8,7.930939865749773e-8,7.96715437202682e-8,6.071015634530614e-10,4.4034802381067607e-10,7.977682839082297e-10
ids/DeBruijn.Par.Fun/ids/7,8.878777469160853e-8,8.853290960370315e-8,8.956334839917546e-8,1.363017156275059e-9,5.879769406991766e-10,2.6479937647489683e-9
ids/DeBruijn.Par.Fun/ids/8,9.808713457173854e-8,9.802882384466219e-8,9.814553451777802e-8,2.0305867435352564e-10,1.7220224093367335e-10,2.5322605789696013e-10
ids/DeBruijn.Par.Fun/ids/9,1.0854372133985503e-7,1.0840327458628748e-7,1.0880967910281881e-7,6.411143780854645e-10,4.0499169229757304e-10,1.075510460577895e-9
ids/DeBruijn.Par.Fun/ids/10,1.1832988125795779e-7,1.1820538683942374e-7,1.1852706867326761e-7,5.103949274160291e-10,3.567496465716929e-10,7.831212433725842e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.Fun/ids/1,2.2710350087122333e-8,2.2638004836784635e-8,2.279237828110303e-8,2.699545794893294e-10,2.0026380822001442e-10,3.605688306533328e-10
ids/DeBruijn.Par.Fun/ids/2,3.338560268289333e-8,3.327737408649887e-8,3.3529609764949023e-8,4.065285060443575e-10,3.03814359960429e-10,5.18643326951146e-10
ids/DeBruijn.Par.Fun/ids/3,4.274098428314556e-8,4.2664996234941155e-8,4.283284122487161e-8,2.819599036069588e-10,2.0958921125469963e-10,3.9617499875190174e-10
ids/DeBruijn.Par.Fun/ids/4,6.254307364845247e-8,6.222872347508051e-8,6.309094252535831e-8,1.3184246083932361e-9,9.361220946580448e-10,1.8008196537900831e-9
ids/DeBruijn.Par.Fun/ids/5,6.836884949143514e-8,6.823088414275578e-8,6.857221722474012e-8,5.42997219806027e-10,2.717472893306272e-10,8.108244808165507e-10
ids/DeBruijn.Par.Fun/ids/6,7.75020287569854e-8,7.736626481097976e-8,7.769484827617988e-8,5.833329982944606e-10,4.4661355709713543e-10,7.890201141504548e-10
ids/DeBruijn.Par.Fun/ids/7,8.72798302512425e-8,8.709797668092283e-8,8.750174187873939e-8,6.632563135103747e-10,5.442409540642541e-10,8.636707902320545e-10
ids/DeBruijn.Par.Fun/ids/8,9.756798280134258e-8,9.730387598488868e-8,9.808337602173404e-8,1.2078332501636787e-9,7.158109518044965e-10,2.1129017153234395e-9
ids/DeBruijn.Par.Fun/ids/9,1.0766041910890165e-7,1.0744836401453329e-7,1.0792483601919497e-7,7.700599339632181e-10,5.870679181589774e-10,1.0820051896573865e-9
ids/DeBruijn.Par.Fun/ids/10,1.1784937678964649e-7,1.1761341363727146e-7,1.1814082958265725e-7,8.73660871047127e-10,6.980565990683235e-10,1.2003573171318503e-9
