Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.B/con/1,3.149138553664749e-8,3.1407154287065654e-8,3.163421206439566e-8,3.4219718278727236e-10,2.0760331882280984e-10,5.731981313079067e-10
con/DeBruijn.Par.B/con/2,5.526258606082125e-8,5.517118136246881e-8,5.538405062098585e-8,3.4833655965754706e-10,2.4234587331455165e-10,4.668023496916198e-10
con/DeBruijn.Par.B/con/3,9.753440014999229e-8,9.728713418351891e-8,9.785759957637036e-8,9.84489586836659e-10,6.455484907151408e-10,1.4103982490773115e-9
con/DeBruijn.Par.B/con/4,1.471708926060641e-7,1.470157689490768e-7,1.474049519886954e-7,6.519715275233269e-10,4.4015130378323665e-10,8.919631490713624e-10
con/DeBruijn.Par.B/con/5,2.1643715645632492e-7,2.1594993411882374e-7,2.1714192408882254e-7,1.9392398701153793e-9,1.5643647207714165e-9,2.908551911543466e-9
con/DeBruijn.Par.B/con/6,3.047064058218413e-7,3.0375338676368406e-7,3.060116186273637e-7,3.722515662954205e-9,2.790745472544793e-9,4.944270354245794e-9
con/DeBruijn.Par.B/con/7,3.971861889250061e-7,3.95848987356816e-7,3.980383969914437e-7,3.4752016899837265e-9,2.19832125408977e-9,5.5462122103821915e-9
con/DeBruijn.Par.B/con/8,4.701181118585483e-7,4.693824016953933e-7,4.7108631813516973e-7,2.8204347945157944e-9,2.2355849252139844e-9,3.7076426193739338e-9
con/DeBruijn.Par.B/con/9,5.7036408972988e-7,5.692062125342091e-7,5.719957133435258e-7,4.479618325275104e-9,3.378789235191501e-9,7.153748754704736e-9
con/DeBruijn.Par.B/con/10,6.772188405965537e-7,6.763147471941232e-7,6.785455169560692e-7,3.559202538067332e-9,2.291203822664915e-9,5.831093796263405e-9
con/DeBruijn.Par.B/con/11,8.014867041980856e-7,8.002926276223297e-7,8.033077905419779e-7,4.570621153872291e-9,2.9429028741355705e-9,7.0675268457812545e-9
con/DeBruijn.Par.B/con/12,9.216979580257455e-7,9.199479749908825e-7,9.23545222046022e-7,5.879784603840779e-9,5.139820817423522e-9,7.048425503079676e-9
con/DeBruijn.Par.B/con/13,1.0522925186079838e-6,1.0513918500464395e-6,1.0533597339501538e-6,3.2852154882452806e-9,2.534888902108843e-9,4.686152097175246e-9
con/DeBruijn.Par.B/con/14,1.1888346082558625e-6,1.186982076908744e-6,1.1911071550573707e-6,6.9055770270653305e-9,5.460436588279306e-9,8.984722707252491e-9
con/DeBruijn.Par.B/con/15,1.3509792719312237e-6,1.34851067220865e-6,1.3542503940397739e-6,9.652150371878226e-9,7.405722371420573e-9,1.3515667137582847e-8
con/DeBruijn.Par.B/con/16,1.4962441299803465e-6,1.492883212281459e-6,1.5015631947047048e-6,1.444145973772132e-8,9.326429739166482e-9,2.2620423225706625e-8
con/DeBruijn.Par.B/con/17,1.6363109836908352e-6,1.634071173287655e-6,1.641135159061221e-6,1.0496768123403901e-8,6.014502702612744e-9,1.8648709351871238e-8
con/DeBruijn.Par.B/con/18,1.8185600532009076e-6,1.814602652828798e-6,1.8226721676937942e-6,1.3357572568465437e-8,1.1624986772693796e-8,1.5496531846971206e-8
con/DeBruijn.Par.B/con/19,1.9942497911618458e-6,1.992182220771885e-6,1.9970113170407037e-6,7.662629569240639e-9,5.548882217022599e-9,1.0544830421119501e-8
con/DeBruijn.Par.B/con/20,2.18047682459795e-6,2.1766562319544164e-6,2.1861249964484834e-6,1.5722482522891813e-8,1.2187746553654126e-8,2.0640870487775762e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.B/con/1,3.119770674545928e-8,3.11496335109382e-8,3.132356772261259e-8,2.591350584602395e-10,8.941983408865017e-11,4.780527656738935e-10
con/DeBruijn.Par.B/con/2,5.5447190925530244e-8,5.539902270573589e-8,5.555884301409833e-8,2.381942776353335e-10,1.356838554737818e-10,4.341119016495592e-10
con/DeBruijn.Par.B/con/3,1.0238058721056255e-7,1.0129769227175381e-7,1.0334921690210357e-7,3.5950384769795097e-9,3.194328765123517e-9,4.078541721252068e-9
con/DeBruijn.Par.B/con/4,1.6698855339705305e-7,1.6656978640759485e-7,1.6746440991710306e-7,1.4785099904011061e-9,1.1965881215883681e-9,1.8289674978267601e-9
con/DeBruijn.Par.B/con/5,2.6461503668030414e-7,2.6347998683768666e-7,2.661505336857013e-7,4.260110114664174e-9,3.3737363241576762e-9,5.633534490004488e-9
con/DeBruijn.Par.B/con/6,3.1201516459773727e-7,3.1104678866154826e-7,3.1405430943137704e-7,4.3587170718375346e-9,2.333163793325519e-9,8.485673095943667e-9
con/DeBruijn.Par.B/con/7,3.9556166759938803e-7,3.9472885119925953e-7,3.982856464622653e-7,4.3600876460232346e-9,1.9894271864721755e-9,8.942788318709833e-9
con/DeBruijn.Par.B/con/8,4.7563444185008554e-7,4.753925023222388e-7,4.7619921290473997e-7,1.165561009939124e-9,7.049335320787976e-10,2.031773695509748e-9
con/DeBruijn.Par.B/con/9,5.797184747840566e-7,5.790028896914005e-7,5.813846088910296e-7,3.3640528176303086e-9,1.6862912261095378e-9,6.628688061008571e-9
con/DeBruijn.Par.B/con/10,6.901590637546116e-7,6.895466529908165e-7,6.910927852262856e-7,2.675803529502233e-9,1.7504042360587114e-9,4.0352571156368414e-9
con/DeBruijn.Par.B/con/11,8.234645166646543e-7,8.231160574808974e-7,8.239136365416735e-7,1.3214946343720432e-9,9.627024416290955e-10,2.0755485367318793e-9
con/DeBruijn.Par.B/con/12,9.432683121017509e-7,9.41379442931256e-7,9.490273356429359e-7,1.13122519368705e-8,2.0615995045158174e-9,2.1709914131615294e-8
con/DeBruijn.Par.B/con/13,1.073413499692735e-6,1.0705429536419602e-6,1.0818811243105086e-6,1.4885813041031436e-8,5.652478256468198e-9,2.875204626882006e-8
con/DeBruijn.Par.B/con/14,1.2034020584955495e-6,1.2028563724005385e-6,1.2040258437354794e-6,1.9483659033255886e-9,1.5465150145451367e-9,2.4061536296350085e-9
con/DeBruijn.Par.B/con/15,1.3689432982018726e-6,1.3679404683282171e-6,1.3700507731096385e-6,3.85722619571648e-9,3.2456193299168745e-9,4.9453141366621e-9
con/DeBruijn.Par.B/con/16,1.5155770934804726e-6,1.5144208387048424e-6,1.5174931525587955e-6,4.9787773606011554e-9,3.04006443105932e-9,7.39494986543875e-9
con/DeBruijn.Par.B/con/17,1.6776917566715159e-6,1.6764073182874974e-6,1.6796203794501464e-6,5.177568481537257e-9,3.904059823807851e-9,7.450356023430013e-9
con/DeBruijn.Par.B/con/18,1.8536850288209927e-6,1.8508668101665045e-6,1.8598459357961469e-6,1.3535955802550691e-8,7.112536479541304e-9,2.504922104097482e-8
con/DeBruijn.Par.B/con/19,2.027104894021386e-6,2.024585081956455e-6,2.03042907843925e-6,9.761216088180552e-9,7.15402970782586e-9,1.3365899920130615e-8
con/DeBruijn.Par.B/con/20,2.2045195892933034e-6,2.202934247406922e-6,2.206521256887099e-6,6.001750026276806e-9,4.6537245215938656e-9,8.281165363123448e-9
