Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.L/ids/1,2.3622812930424193e-8,2.3588230531059303e-8,2.367346773903636e-8,1.4382049023026577e-10,1.0587945442899354e-10,2.152889934652542e-10
ids/DeBruijn.Par.L/ids/2,3.468454591000954e-8,3.4631121913886435e-8,3.476574833485192e-8,2.204227011473409e-10,1.6193445343921715e-10,3.3548282979191073e-10
ids/DeBruijn.Par.L/ids/3,4.602029712760019e-8,4.5938358712936586e-8,4.614492751141488e-8,3.398108993241663e-10,2.627365285126573e-10,4.630962853732374e-10
ids/DeBruijn.Par.L/ids/4,6.316511186302558e-8,6.304985048332208e-8,6.343928589330877e-8,5.810629492539944e-10,2.971199877716152e-10,1.1534780827807781e-9
ids/DeBruijn.Par.L/ids/5,7.126935646274614e-8,7.113704263236023e-8,7.155163945577692e-8,6.206234248976817e-10,3.4535204684821267e-10,9.625246488113592e-10
ids/DeBruijn.Par.L/ids/6,8.184661104638684e-8,8.171353684134438e-8,8.20080180773487e-8,4.955380829462935e-10,4.2751925577747613e-10,5.979337183646252e-10
ids/DeBruijn.Par.L/ids/7,9.276099742367427e-8,9.264894727327994e-8,9.291494759149472e-8,4.4757266073958234e-10,3.527149703898143e-10,6.224024693722611e-10
ids/DeBruijn.Par.L/ids/8,1.0289814137744518e-7,1.0279641049286263e-7,1.030291978546886e-7,4.05948821165843e-10,2.9274452849681754e-10,6.469484735493868e-10
ids/DeBruijn.Par.L/ids/9,1.1485105268107299e-7,1.1465390320732547e-7,1.1512457277436959e-7,7.692483288315386e-10,6.18887603704545e-10,9.405672546441203e-10
ids/DeBruijn.Par.L/ids/10,1.259140311524849e-7,1.2559384990410294e-7,1.2663860087320545e-7,1.5728963474424497e-9,9.471226059412567e-10,2.6463115892782464e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.L/ids/1,2.4738668914460923e-8,2.459897673660303e-8,2.5164146656084073e-8,7.388557476595811e-10,2.638028708027844e-10,1.4471182009716226e-9
ids/DeBruijn.Par.L/ids/2,3.594328228627683e-8,3.5913677984725815e-8,3.5985668142892945e-8,1.1069273693460082e-10,8.430712414347988e-11,1.4916305294698525e-10
ids/DeBruijn.Par.L/ids/3,4.735182982001822e-8,4.729330151440508e-8,4.743006549908127e-8,2.3257218754057843e-10,1.7412413161127058e-10,2.944423663805115e-10
ids/DeBruijn.Par.L/ids/4,6.628187393689424e-8,6.62365347806578e-8,6.636969640265033e-8,2.059715140610266e-10,1.180780938510654e-10,3.6186433818027e-10
ids/DeBruijn.Par.L/ids/5,7.445195678110685e-8,7.436676812711884e-8,7.456052049895331e-8,3.280596960773649e-10,2.592745962300036e-10,4.0479867881213835e-10
ids/DeBruijn.Par.L/ids/6,8.535332543247592e-8,8.525399458921896e-8,8.550187428780516e-8,4.2110409872299075e-10,3.2423125529350977e-10,5.587670445600295e-10
ids/DeBruijn.Par.L/ids/7,9.592309390547597e-8,9.583378898946545e-8,9.60517171313988e-8,3.8371508940335213e-10,2.4231604231224065e-10,5.855696986865847e-10
ids/DeBruijn.Par.L/ids/8,1.0682506734340065e-7,1.067070752631114e-7,1.0698132665874933e-7,4.3728754351189016e-10,3.509409075246703e-10,6.244184371710584e-10
ids/DeBruijn.Par.L/ids/9,1.1754806418170572e-7,1.1749063443795962e-7,1.176263506969959e-7,2.3009212602260202e-10,1.7926254550722547e-10,3.109268018526421e-10
ids/DeBruijn.Par.L/ids/10,1.2838578211800593e-7,1.2827262337814408e-7,1.285496747421641e-7,4.4791415227473674e-10,3.2317156139786575e-10,7.505184123119188e-10
