Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.GB/adjust/1,7.726150454222709e-8,7.709559836616692e-8,7.769438883241207e-8,8.219205634167842e-10,4.3175858906483715e-10,1.6057411502951035e-9
adjust/DeBruijn.Par.GB/adjust/2,1.9309303748688867e-7,1.9268994707770165e-7,1.9389325426243627e-7,1.8235072212361237e-9,9.98135913536674e-10,2.9488634858239006e-9
adjust/DeBruijn.Par.GB/adjust/3,3.983203198429577e-7,3.9689870852016477e-7,4.0218806235067803e-7,7.667654103011209e-9,2.596994012529163e-9,1.5476490698849824e-8
adjust/DeBruijn.Par.GB/adjust/4,7.467503497425934e-7,7.458812210525047e-7,7.486195738965473e-7,4.1825986780288666e-9,2.5146909227984853e-9,7.043882488756655e-9
adjust/DeBruijn.Par.GB/adjust/5,1.2900262445627334e-6,1.288690657023602e-6,1.2916673350500874e-6,4.984152223893165e-9,3.906800518320975e-9,6.94573619737453e-9
adjust/DeBruijn.Par.GB/adjust/6,2.0886108611389017e-6,2.0859774581810776e-6,2.0932801599666523e-6,1.145826451709089e-8,7.451146766373674e-9,1.9815555740847617e-8
adjust/DeBruijn.Par.GB/adjust/7,3.1758101534861334e-6,3.170778124884798e-6,3.1835175437342428e-6,2.0762476976585e-8,1.4486695288350364e-8,3.6136119729027555e-8
adjust/DeBruijn.Par.GB/adjust/8,4.647979877920767e-6,4.641167819971844e-6,4.669850582130606e-6,3.670593540810303e-8,1.4006666441591475e-8,7.377156652513729e-8
adjust/DeBruijn.Par.GB/adjust/9,6.659459416431227e-6,6.643099047619834e-6,6.686518367995401e-6,6.83631835492629e-8,4.29558328771913e-8,1.1237001071383309e-7
adjust/DeBruijn.Par.GB/adjust/10,9.364766381670809e-6,9.343780905215145e-6,9.392786528381176e-6,7.828580623568065e-8,5.8475694878747855e-8,1.2386174188493676e-7
adjust/DeBruijn.Par.GB/adjust/11,1.2367381209382568e-5,1.2352884033653076e-5,1.2402721178520381e-5,7.236514503758129e-8,3.6675804307925256e-8,1.3241935895184162e-7
adjust/DeBruijn.Par.GB/adjust/12,1.5878030687169602e-5,1.5853228916264144e-5,1.5919267905312868e-5,1.0638093338633046e-7,7.627717872859581e-8,1.6079022215057547e-7
adjust/DeBruijn.Par.GB/adjust/13,2.0259194271304048e-5,2.0180595556822764e-5,2.05266042199052e-5,4.5072426627138445e-7,1.5046786550323597e-7,9.117491076413883e-7
adjust/DeBruijn.Par.GB/adjust/14,2.494386350834782e-5,2.4887138063205854e-5,2.5142471360421148e-5,2.9912988662620454e-7,1.0259372679661001e-7,6.533512604327916e-7
adjust/DeBruijn.Par.GB/adjust/15,3.0401493872373352e-5,3.037770466138169e-5,3.0438812967352653e-5,9.862560285240658e-8,7.631334732849755e-8,1.347977918015667e-7
adjust/DeBruijn.Par.GB/adjust/16,3.695069370093589e-5,3.688810679544852e-5,3.7094649763608926e-5,2.9375323736658245e-7,1.7463783958195015e-7,5.058392802579356e-7
adjust/DeBruijn.Par.GB/adjust/17,4.422249168998242e-5,4.4173026134547426e-5,4.435919050735305e-5,2.63349921981031e-7,1.3347564045739902e-7,4.99426644849232e-7
adjust/DeBruijn.Par.GB/adjust/18,5.2637351161326984e-5,5.2530801207147536e-5,5.286144314426592e-5,4.6737249224124506e-7,2.7189945679342294e-7,8.876180313777723e-7
adjust/DeBruijn.Par.GB/adjust/19,6.181474903981e-5,6.172166217399196e-5,6.197522610153625e-5,4.0528457668266887e-7,2.6211028289910983e-7,5.950641116407406e-7
adjust/DeBruijn.Par.GB/adjust/20,7.233363206280329e-5,7.211764746762848e-5,7.291557537194963e-5,1.0861095833994326e-6,5.930970932666281e-7,2.084076094094397e-6
