Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.Fun/adjustb/1,3.654092656935837e-8,3.650660915701575e-8,3.6586996734753735e-8,1.2784808936361488e-10,9.709226919565308e-11,1.872016949234122e-10
adjustb/DeBruijn.Par.Fun/adjustb/2,1.4422281182506304e-7,1.4380116775394252e-7,1.4474386084645465e-7,1.5183350191357328e-9,1.2692978706254823e-9,1.8367954998538855e-9
adjustb/DeBruijn.Par.Fun/adjustb/3,3.6447297859853025e-7,3.6393741635166316e-7,3.651511446936894e-7,2.0928216269356137e-9,1.6636366336441497e-9,2.8168883055854176e-9
adjustb/DeBruijn.Par.Fun/adjustb/4,7.83410317724776e-7,7.806698043682225e-7,7.89880745122742e-7,1.4197511687455128e-8,6.022986470111426e-9,2.732897207700107e-8
adjustb/DeBruijn.Par.Fun/adjustb/5,1.375979145425523e-6,1.3751547843769547e-6,1.3768072520663116e-6,2.922896363326112e-9,2.36676875826288e-9,3.774967308392404e-9
adjustb/DeBruijn.Par.Fun/adjustb/6,2.2930422590599305e-6,2.2804303791652176e-6,2.308658743360396e-6,4.878506000083549e-8,3.689559798948175e-8,6.225472534142117e-8
adjustb/DeBruijn.Par.Fun/adjustb/7,3.5451201397662485e-6,3.5273291584636296e-6,3.5825639110516617e-6,8.267618334898245e-8,2.2189802960867133e-8,1.4521947355879853e-7
adjustb/DeBruijn.Par.Fun/adjustb/8,5.077523405591112e-6,5.069740120251788e-6,5.087398312963812e-6,2.8188072396869268e-8,2.1377614274048964e-8,3.840205851973765e-8
adjustb/DeBruijn.Par.Fun/adjustb/9,7.135439356826013e-6,7.123800894931529e-6,7.150317547538649e-6,4.639022296111126e-8,3.6224248062035714e-8,6.652862306616924e-8
adjustb/DeBruijn.Par.Fun/adjustb/10,9.665891215949599e-6,9.642830367533856e-6,9.704926212168145e-6,9.723862400447226e-8,6.558491851473358e-8,1.5051018379002317e-7
adjustb/DeBruijn.Par.Fun/adjustb/11,1.3231876158848807e-5,1.3087428360699866e-5,1.3392762178181528e-5,5.224805790700166e-7,4.3204839569793753e-7,6.325334394723007e-7
adjustb/DeBruijn.Par.Fun/adjustb/12,1.6475545930797463e-5,1.6449466129716197e-5,1.6519631106642192e-5,1.117960057719326e-7,8.072529083007145e-8,1.6354218037979156e-7
adjustb/DeBruijn.Par.Fun/adjustb/13,2.082365432603177e-5,2.0793238535618408e-5,2.087932845974937e-5,1.3947192204132833e-7,8.716087524391766e-8,2.407930863241972e-7
adjustb/DeBruijn.Par.Fun/adjustb/14,2.5905154227057266e-5,2.5880300850279774e-5,2.5940932675221606e-5,1.0087820187188888e-7,7.634432674011423e-8,1.334064513751569e-7
adjustb/DeBruijn.Par.Fun/adjustb/15,3.198055351427649e-5,3.18957534266208e-5,3.211440190297736e-5,3.536811560038006e-7,2.3067941636379996e-7,4.824651667043804e-7
adjustb/DeBruijn.Par.Fun/adjustb/16,3.857738162619595e-5,3.8510692105690855e-5,3.8673533068236336e-5,2.6375337363611303e-7,1.807388347862618e-7,3.607302548575997e-7
adjustb/DeBruijn.Par.Fun/adjustb/17,4.6198366816151876e-5,4.615156633840543e-5,4.627417704126592e-5,2.1005339369014697e-7,1.5131197033486552e-7,3.3049349628443183e-7
adjustb/DeBruijn.Par.Fun/adjustb/18,5.493445541862806e-5,5.485392979162266e-5,5.5048749327937826e-5,3.1349076760848275e-7,2.315779650613114e-7,4.105655115210952e-7
adjustb/DeBruijn.Par.Fun/adjustb/19,6.497183848005782e-5,6.482192113617997e-5,6.546428973791984e-5,7.706682937240647e-7,2.893146432640299e-7,1.7309891058470922e-6
