Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.FB/con/1,3.392465838618941e-8,3.3834842980587174e-8,3.4105729072345035e-8,3.874680895657015e-10,2.2769237014355616e-10,7.641157505931739e-10
con/DeBruijn.Par.FB/con/2,6.177461740250546e-8,6.167286427278966e-8,6.19452225647171e-8,4.3181493911983766e-10,2.9021596159395884e-10,5.824706888218053e-10
con/DeBruijn.Par.FB/con/3,8.841961309935544e-8,8.822434104466787e-8,8.870553010639127e-8,8.128717693215936e-10,6.326613976581805e-10,1.195678849971655e-9
con/DeBruijn.Par.FB/con/4,1.1806254230122425e-7,1.1789120360010148e-7,1.1829961258253996e-7,6.750314416527471e-10,5.175861785252433e-10,8.690033958157569e-10
con/DeBruijn.Par.FB/con/5,1.5171656740310568e-7,1.515125778633003e-7,1.5195475113859906e-7,7.515983072527082e-10,5.715829939737122e-10,1.0477663601158925e-9
con/DeBruijn.Par.FB/con/6,1.8849591111444857e-7,1.8814736933627747e-7,1.8892783753365649e-7,1.3141843177117896e-9,1.0418091217318705e-9,1.7293582058916274e-9
con/DeBruijn.Par.FB/con/7,2.216996293131859e-7,2.2105065727995306e-7,2.2309527036864372e-7,2.9965127595157022e-9,1.4697659531770693e-9,5.588739859365646e-9
con/DeBruijn.Par.FB/con/8,2.4495240467455366e-7,2.446113859060038e-7,2.4551008092104044e-7,1.4583554002323967e-9,9.832004891987358e-10,2.072740012967452e-9
con/DeBruijn.Par.FB/con/9,2.7472550181137165e-7,2.7412099709784807e-7,2.75552315554216e-7,2.384780215981498e-9,1.8638413595894925e-9,3.2925063661792246e-9
con/DeBruijn.Par.FB/con/10,3.134644997066601e-7,3.129814159017106e-7,3.14491829894156e-7,2.3340933227363747e-9,1.239949175413579e-9,3.953203025191354e-9
con/DeBruijn.Par.FB/con/11,3.3960900337686316e-7,3.392943554915117e-7,3.3998498918454306e-7,1.1694525926102626e-9,9.450497316603045e-10,1.577588627039538e-9
con/DeBruijn.Par.FB/con/12,3.6983479547084545e-7,3.688907222900203e-7,3.708881209757311e-7,3.2680336499250383e-9,2.569350618641645e-9,5.320268497404214e-9
con/DeBruijn.Par.FB/con/13,3.9956609567864957e-7,3.9804921159797635e-7,4.038768555074229e-7,7.715103605142178e-9,3.5000846672736417e-9,1.554038081810961e-8
con/DeBruijn.Par.FB/con/14,4.2129184356171477e-7,4.2100630091653434e-7,4.217634231477544e-7,1.2278046570922289e-9,8.885775941836892e-10,1.9933924545661965e-9
con/DeBruijn.Par.FB/con/15,4.52964426796121e-7,4.5236118181410365e-7,4.536395649306143e-7,2.1452520319089616e-9,1.7686442285836288e-9,2.568305056675865e-9
con/DeBruijn.Par.FB/con/16,4.810227207805759e-7,4.802866407333411e-7,4.82120183750107e-7,2.9122048603109335e-9,2.219444173684176e-9,3.9499222827073516e-9
con/DeBruijn.Par.FB/con/17,5.248469853362462e-7,5.239776906875194e-7,5.2601147065275e-7,3.292353974521671e-9,2.6519710290883284e-9,4.138921290951657e-9
con/DeBruijn.Par.FB/con/18,5.540774563150186e-7,5.529533452143661e-7,5.557608890648711e-7,4.707679997498627e-9,3.4042970036147828e-9,6.934177926300253e-9
con/DeBruijn.Par.FB/con/19,5.859605524379065e-7,5.831943330658631e-7,5.92726862745227e-7,1.429241623188084e-8,6.845078467987288e-9,2.486603326613444e-8
con/DeBruijn.Par.FB/con/20,6.212703642997054e-7,6.206323297059647e-7,6.228132977012153e-7,3.147566596132185e-9,1.580556257763194e-9,5.761912585328534e-9
