Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.Scoped/con/1,3.381813512339423e-8,3.375637549680397e-8,3.3911630813067205e-8,2.540885309776668e-10,1.9252978461806737e-10,3.672713142405123e-10
con/DeBruijn.Par.Scoped/con/2,6.123421328036127e-8,6.110887595945953e-8,6.140727887709013e-8,5.050210877865443e-10,3.4791918598783244e-10,8.409880556387077e-10
con/DeBruijn.Par.Scoped/con/3,8.754924769300997e-8,8.744430161971651e-8,8.778567710623385e-8,5.151989056438287e-10,3.133539243450101e-10,8.846291010258504e-10
con/DeBruijn.Par.Scoped/con/4,1.205931659293721e-7,1.204207720912312e-7,1.2092725213940256e-7,7.990523007957293e-10,5.265707145588378e-10,1.2812537652916374e-9
con/DeBruijn.Par.Scoped/con/5,1.718391749729963e-7,1.7142545594790777e-7,1.7230569302126517e-7,1.4047104307115458e-9,1.1365439631381152e-9,1.7713559678451794e-9
con/DeBruijn.Par.Scoped/con/6,2.2418892268252142e-7,2.2384084635902942e-7,2.2451022912188672e-7,1.1311110352769252e-9,8.801911642518541e-10,1.5112781852702445e-9
con/DeBruijn.Par.Scoped/con/7,2.935879693489861e-7,2.93059151113961e-7,2.9450979957365854e-7,2.2489175416163224e-9,1.5790814296769873e-9,3.5715045689150193e-9
con/DeBruijn.Par.Scoped/con/8,3.815097503122825e-7,3.809028888912586e-7,3.8230356246616594e-7,2.5374071852424437e-9,1.951989386994154e-9,3.3171526220418064e-9
con/DeBruijn.Par.Scoped/con/9,4.536441340065794e-7,4.5267618851331927e-7,4.5517098177332147e-7,3.9227267018308215e-9,2.295109332703308e-9,6.580317690185938e-9
con/DeBruijn.Par.Scoped/con/10,5.36762141956346e-7,5.35926334942763e-7,5.385974296067029e-7,3.857418643288481e-9,2.100737174622022e-9,7.068146210644992e-9
con/DeBruijn.Par.Scoped/con/11,6.341506097295939e-7,6.331352156898458e-7,6.354585209839883e-7,3.95771884733879e-9,3.166949095466248e-9,5.03924877711599e-9
con/DeBruijn.Par.Scoped/con/12,7.366627295717858e-7,7.359589301289654e-7,7.372233798031345e-7,2.08139568562362e-9,1.4979337192612827e-9,3.006422102506913e-9
con/DeBruijn.Par.Scoped/con/13,8.639056676569045e-7,8.625300759064947e-7,8.657987608288882e-7,5.388762010183065e-9,4.092956422770493e-9,8.20795763713696e-9
con/DeBruijn.Par.Scoped/con/14,9.76123807023534e-7,9.7385633746324e-7,9.79427906875865e-7,9.03855891301404e-9,6.8136516458053345e-9,1.1806002306111696e-8
con/DeBruijn.Par.Scoped/con/15,1.0955098489714116e-6,1.0923822004919001e-6,1.102258127500152e-6,1.4402011321221662e-8,6.463727293782818e-9,2.6500480006116332e-8
con/DeBruijn.Par.Scoped/con/16,1.2163574408468685e-6,1.214613876567755e-6,1.2196619321131682e-6,8.171549942009058e-9,4.828853201465141e-9,1.3669014493872745e-8
con/DeBruijn.Par.Scoped/con/17,1.3678478991649337e-6,1.3660027440201259e-6,1.3702190846598067e-6,7.275799638279353e-9,5.504260965424402e-9,1.105238045261467e-8
con/DeBruijn.Par.Scoped/con/18,1.502391544449231e-6,1.5003495199696312e-6,1.50492704312377e-6,7.68180932387598e-9,5.732875481904859e-9,1.0321494248583903e-8
con/DeBruijn.Par.Scoped/con/19,1.6581071225431773e-6,1.6551198105729514e-6,1.6627191274831296e-6,1.2154303020733944e-8,8.637736130327834e-9,1.8914131596016257e-8
con/DeBruijn.Par.Scoped/con/20,1.8224338145245344e-6,1.8181537019226267e-6,1.8314193233547915e-6,1.9364168743363157e-8,1.2315129275526758e-8,3.097914583016136e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.Scoped/con/1,3.467293400111418e-8,3.466102621851813e-8,3.4688029643387816e-8,4.5980704665503204e-11,3.54071448021388e-11,6.127335252207725e-11
con/DeBruijn.Par.Scoped/con/2,6.154329645835938e-8,6.14863369475758e-8,6.161874945267834e-8,2.048470774728774e-10,1.6168008557049703e-10,2.635075348793457e-10
con/DeBruijn.Par.Scoped/con/3,8.815617000220078e-8,8.809303125500875e-8,8.828508729574927e-8,2.897168082016533e-10,1.5847779657100365e-10,5.227134728721674e-10
con/DeBruijn.Par.Scoped/con/4,1.226235163834215e-7,1.2252864172018936e-7,1.227509134816383e-7,3.667099180553317e-10,2.7814937879260845e-10,4.815707301832944e-10
con/DeBruijn.Par.Scoped/con/5,1.7486075428146013e-7,1.7459359628676496e-7,1.753666750316473e-7,1.2140930416643132e-9,7.015725991925158e-10,1.8272881893347292e-9
con/DeBruijn.Par.Scoped/con/6,2.2723183700140335e-7,2.261504485767772e-7,2.2904543813709265e-7,4.496783331988218e-9,3.088142428745388e-9,7.268278378824495e-9
con/DeBruijn.Par.Scoped/con/7,2.9501550069198313e-7,2.9466463088728526e-7,2.9535450285719833e-7,1.147450781935722e-9,9.529717286027996e-10,1.3876203993807926e-9
