Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.TypedOtt/adjust/1,6.340041884667782e-8,6.334295710328025e-8,6.346507807191012e-8,2.0525674049166099e-10,1.4965028429503142e-10,2.698604092525111e-10
adjust/LocallyNameless.Lazy.TypedOtt/adjust/2,3.1469809992875163e-7,3.1443812513795464e-7,3.149367447384467e-7,8.332528578359617e-10,6.058823971590461e-10,1.1881835158344598e-9
adjust/LocallyNameless.Lazy.TypedOtt/adjust/3,8.702500898662206e-7,8.68283123321512e-7,8.726110080844454e-7,7.278001199976352e-9,5.835150721569621e-9,9.217978798347062e-9
adjust/LocallyNameless.Lazy.TypedOtt/adjust/4,1.8435236867795445e-6,1.8412176497297795e-6,1.8458280182425953e-6,7.933703688239773e-9,6.572482688472173e-9,9.836484895384098e-9
adjust/LocallyNameless.Lazy.TypedOtt/adjust/5,3.3447327161826085e-6,3.33953013320988e-6,3.3511691071852254e-6,2.0038377261220476e-8,1.6513044915639325e-8,2.4056949756218173e-8
adjust/LocallyNameless.Lazy.TypedOtt/adjust/6,5.4369496404680036e-6,5.430792867097363e-6,5.446087570358314e-6,2.512131851292577e-8,1.995550735035427e-8,3.509417946447647e-8
adjust/LocallyNameless.Lazy.TypedOtt/adjust/7,8.296127180153451e-6,8.28255921727609e-6,8.312936097952577e-6,5.12373703681612e-8,4.077865324962046e-8,6.679335084618787e-8
adjust/LocallyNameless.Lazy.TypedOtt/adjust/8,1.2169491600187729e-5,1.2152887884967529e-5,1.2192127234255002e-5,6.331804681105796e-8,5.058239890890899e-8,8.332441539080332e-8
adjust/LocallyNameless.Lazy.TypedOtt/adjust/9,1.6739627207329293e-5,1.670982177557473e-5,1.677552564724222e-5,1.13673242636287e-7,9.453482253143777e-8,1.6624406855598234e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/10,2.229425160502184e-5,2.225745860069614e-5,2.235385960493795e-5,1.616863613018331e-7,1.0240237462619133e-7,2.8007890978141004e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/11,2.887920534452711e-5,2.884342625122319e-5,2.8945770127904687e-5,1.6486004580687092e-7,9.434993839015455e-8,2.6064444432151265e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/12,3.688940160463121e-5,3.684396774819579e-5,3.694393936292557e-5,1.6299573258965512e-7,1.3716947908428049e-7,1.9400999406360604e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/13,4.6634361353202936e-5,4.6590642039755785e-5,4.66942659485095e-5,1.708645316659708e-7,1.1176401883450853e-7,2.4363224481653553e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/14,5.7167423206096066e-5,5.713205205607037e-5,5.7204331125295616e-5,1.2593607632663868e-7,9.988959539911093e-8,1.6487046366391676e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/15,6.995150042224654e-5,6.986508171604982e-5,7.005453578768507e-5,3.077003164380646e-7,2.4368582994093713e-7,4.0131346713174503e-7
adjust/LocallyNameless.Lazy.TypedOtt/adjust/16,8.409150821734546e-5,8.395235857188048e-5,8.435005927000693e-5,6.209604234177544e-7,3.7458649283510953e-7,1.0677503800216882e-6
adjust/LocallyNameless.Lazy.TypedOtt/adjust/17,9.925781556007084e-5,9.910117281376656e-5,9.95884353677104e-5,6.870343251089816e-7,3.8181195197523216e-7,1.2397109745876951e-6
adjust/LocallyNameless.Lazy.TypedOtt/adjust/18,1.1851281158058548e-4,1.1839649513003027e-4,1.1869461014457572e-4,4.86207821210874e-7,3.3504254922892775e-7,7.531064324053108e-7
