Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.Ott/ids/1,3.286153768414693e-8,3.2824057804208634e-8,3.294469922150755e-8,1.8028337530293992e-10,7.7102535911233e-11,2.921506324133463e-10
ids/LocallyNameless.Lazy.Ott/ids/2,4.030591953046615e-8,4.02302243728951e-8,4.0582651806134985e-8,4.3894634314801284e-10,1.4500726912385576e-10,8.722997219462586e-10
ids/LocallyNameless.Lazy.Ott/ids/3,4.734606469209853e-8,4.7275442935712155e-8,4.7528810761708354e-8,3.4774161246418497e-10,1.692408310512122e-10,6.519684386748169e-10
ids/LocallyNameless.Lazy.Ott/ids/4,5.442699624856973e-8,5.437129523746199e-8,5.4524758155901254e-8,2.5518982343007574e-10,1.4772228890650148e-10,4.993987498155955e-10
ids/LocallyNameless.Lazy.Ott/ids/5,7.368217645571221e-8,7.349996950211346e-8,7.388637255260303e-8,6.630579207661375e-10,5.179348105870061e-10,8.227389802150226e-10
ids/LocallyNameless.Lazy.Ott/ids/6,7.49961890482015e-8,7.474704862726481e-8,7.539415664277457e-8,1.0690502718316493e-9,6.48977053825025e-10,1.5557177970794436e-9
ids/LocallyNameless.Lazy.Ott/ids/7,8.114317484782297e-8,8.108630371280355e-8,8.127098308231404e-8,2.6482681324867634e-10,1.459107062222928e-10,4.605300998123188e-10
ids/LocallyNameless.Lazy.Ott/ids/8,8.882690062105708e-8,8.87477098876602e-8,8.891148652662338e-8,2.761969773695369e-10,2.1050725640960888e-10,3.596902218824009e-10
ids/LocallyNameless.Lazy.Ott/ids/9,9.590091061884346e-8,9.578991359654635e-8,9.604522222561934e-8,4.4267283149419556e-10,2.827068349709797e-10,7.486743113000886e-10
ids/LocallyNameless.Lazy.Ott/ids/10,1.0307596469171795e-7,1.029959055243351e-7,1.032442826714029e-7,3.8502901859350173e-10,2.559140095670326e-10,6.402279481242377e-10
