Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.ParScoped/adjust/1,6.385455181109045e-8,6.382132772872205e-8,6.390371580318343e-8,1.3230142217835214e-10,8.651838212400245e-11,1.9848074095700548e-10
adjust/LocallyNameless.Lazy.ParScoped/adjust/2,3.328030436836004e-7,3.318409311610336e-7,3.349369513511493e-7,4.323738419318475e-9,1.838193433240672e-9,7.104121970701158e-9
adjust/LocallyNameless.Lazy.ParScoped/adjust/3,9.647483682036496e-7,9.632370869457038e-7,9.686664676979451e-7,7.392902059313966e-9,3.9395207318097204e-9,1.4793847044034994e-8
adjust/LocallyNameless.Lazy.ParScoped/adjust/4,2.129780255588737e-6,2.1265564309238087e-6,2.1322229637212922e-6,9.30609528216452e-9,7.990333286488156e-9,1.137337259283551e-8
adjust/LocallyNameless.Lazy.ParScoped/adjust/5,3.980209127048719e-6,3.973439416154749e-6,3.9882943573959965e-6,2.6125182999231185e-8,2.0770089950109275e-8,3.429233216843512e-8
adjust/LocallyNameless.Lazy.ParScoped/adjust/6,6.522830912153851e-6,6.508200582178442e-6,6.561361491757809e-6,7.460684434904633e-8,4.440983079331264e-8,1.1471296634269165e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/7,9.826284803159284e-6,9.821569720824179e-6,9.837464545903438e-6,2.2801997122093546e-8,1.4619994755885276e-8,4.0094689488205623e-8
adjust/LocallyNameless.Lazy.ParScoped/adjust/8,1.4352273849740765e-5,1.4340882753595487e-5,1.436541284093156e-5,4.4034340892438153e-8,3.186775035509398e-8,6.807995159970951e-8
adjust/LocallyNameless.Lazy.ParScoped/adjust/9,1.9607004092990653e-5,1.958030851643795e-5,1.965195701641662e-5,1.135247576420272e-7,8.327900918509545e-8,1.576277314766845e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/10,2.700968200956411e-5,2.696523027466603e-5,2.7061113536626112e-5,1.643946470710564e-7,1.2429920179113667e-7,2.328951331343616e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/11,3.542925120224129e-5,3.535838434028496e-5,3.556882446387687e-5,3.12576753184208e-7,2.057764616733702e-7,5.421200504447705e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/12,4.5234118272725504e-5,4.4956148516392816e-5,4.578926481760261e-5,1.3403853101594133e-6,6.219490535636971e-7,2.4551079541809655e-6
adjust/LocallyNameless.Lazy.ParScoped/adjust/13,5.635997805873492e-5,5.630978730409116e-5,5.643449141490602e-5,2.0515806476162676e-7,1.4146194963419895e-7,2.8309259998604803e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/14,7.066917076301454e-5,7.059682838070542e-5,7.086821420175221e-5,3.561483453182911e-7,1.7639961439628693e-7,6.61173686825246e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/15,8.585695169785048e-5,8.578440586664807e-5,8.597348097413823e-5,2.962789571792096e-7,2.2887144022666217e-7,4.284633188523237e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/16,1.0354941046546273e-4,1.0344022110268001e-4,1.037035780666558e-4,4.154036767058011e-7,3.1295455717582765e-7,5.347159705526355e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/17,1.237904833796979e-4,1.2365334318871062e-4,1.2403464798087943e-4,6.094388810855779e-7,3.617548285827757e-7,9.625807913291206e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/18,1.4497410493419217e-4,1.4483420583298771e-4,1.4523399585934527e-4,6.007339273452521e-7,3.597953832892946e-7,9.083549449729607e-7
adjust/LocallyNameless.Lazy.ParScoped/adjust/19,1.7032566420299418e-4,1.7013558077353535e-4,1.7059925452999307e-4,8.01930451543913e-7,5.667160617362024e-7,1.169897728544068e-6
adjust/LocallyNameless.Lazy.ParScoped/adjust/20,2.0039492803270508e-4,1.9996484029447824e-4,2.0098350011987413e-4,1.66647076560335e-6,1.212586049988963e-6,2.294383298318023e-6
