Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.TypedOpt/adjust/1,5.344304943892429e-8,5.333885267038766e-8,5.3696912166423173e-8,5.089647150782745e-10,2.4974814373755545e-10,9.612961638149545e-10
adjust/LocallyNameless.Lazy.TypedOpt/adjust/2,1.7606468354310776e-7,1.7552819349771086e-7,1.7656498861340183e-7,1.7432882333753862e-9,1.1978887634061878e-9,2.2734060098549995e-9
adjust/LocallyNameless.Lazy.TypedOpt/adjust/3,3.9406930457481037e-7,3.928240496258479e-7,3.953223307549709e-7,4.2997709176088614e-9,3.706967171485542e-9,5.205539140625878e-9
adjust/LocallyNameless.Lazy.TypedOpt/adjust/4,7.121469559883707e-7,7.114763284381936e-7,7.130869408989102e-7,2.625006192686922e-9,2.072096055264695e-9,3.748310165239751e-9
adjust/LocallyNameless.Lazy.TypedOpt/adjust/5,1.1318840034025556e-6,1.1305162641095497e-6,1.1334946521229122e-6,5.1604791937954465e-9,4.22082196541137e-9,6.506845525738289e-9
adjust/LocallyNameless.Lazy.TypedOpt/adjust/6,1.638673157678318e-6,1.6352363353562392e-6,1.6435546347490115e-6,1.3026435129076242e-8,1.0236168752794965e-8,1.732466900643971e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/7,2.3360341778231605e-6,2.3310175073359996e-6,2.34673606401412e-6,2.405989256153001e-8,1.363350915383047e-8,4.300448846528507e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/8,3.1718451160563794e-6,3.168871798837015e-6,3.176962230616352e-6,1.2718191016804647e-8,8.026920910452437e-9,2.051465059322394e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/9,4.330300128071999e-6,4.320447826125998e-6,4.34327883528982e-6,3.575313731456103e-8,2.544041912863354e-8,5.171772293579431e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/10,5.615391640091087e-6,5.608104195331439e-6,5.627161722177899e-6,3.173897480364147e-8,2.2252447855689134e-8,5.123589010913619e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/11,7.0439313399449846e-6,7.0349871284189665e-6,7.0530182735466935e-6,3.07076138874339e-8,2.3759309450928565e-8,3.9428988600434615e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/12,8.938273968471856e-6,8.91578473088477e-6,8.967049451406593e-6,8.565754573198164e-8,6.823585940420109e-8,1.164927630207347e-7
adjust/LocallyNameless.Lazy.TypedOpt/adjust/13,1.0769097628610548e-5,1.0737875816800557e-5,1.0822487632993125e-5,1.354495780723797e-7,8.712293783890125e-8,2.005823488776932e-7
adjust/LocallyNameless.Lazy.TypedOpt/adjust/14,1.2652700178007342e-5,1.2647000985198564e-5,1.2660089868774481e-5,2.2046271350903437e-8,1.636916190005196e-8,3.293221144754191e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/15,1.5014264414928628e-5,1.499999098460653e-5,1.5034403786410948e-5,5.679757991244496e-8,4.345580242476729e-8,7.370861728940177e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/16,1.782099167013298e-5,1.780447180981351e-5,1.7843502658595155e-5,6.641975897481863e-8,4.9691998667057595e-8,9.411788744658308e-8
adjust/LocallyNameless.Lazy.TypedOpt/adjust/17,2.091013241363644e-5,2.0886393639575793e-5,2.0956181204045737e-5,1.0913209782314266e-7,7.387056733875397e-8,1.9710533036617345e-7
adjust/LocallyNameless.Lazy.TypedOpt/adjust/18,2.4327494062013953e-5,2.4286393449937413e-5,2.439904347323666e-5,1.7285163873432545e-7,1.2093748498335644e-7,2.968561597662918e-7
adjust/LocallyNameless.Lazy.TypedOpt/adjust/19,2.8469837667040114e-5,2.834946391379714e-5,2.8742681474857505e-5,5.868095960719411e-7,2.7978835530138317e-7,1.0746099323015087e-6
adjust/LocallyNameless.Lazy.TypedOpt/adjust/20,3.1717943692567166e-5,3.1638700956764974e-5,3.1844685748144726e-5,3.3560251870670303e-7,2.019239699715903e-7,4.914642300230875e-7
