Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.TypedOpt/ids/1,4.7072880643285805e-8,4.701784430617587e-8,4.717510644954504e-8,2.3812539878400186e-10,1.5832554330903018e-10,3.579557294295122e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/2,5.829757077033767e-8,5.825467240656562e-8,5.833811381017125e-8,1.3932231438672536e-10,1.1665403916127524e-10,1.6982859675803006e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/3,6.933097422922284e-8,6.923627931180963e-8,6.947172972881076e-8,3.9726947833376674e-10,2.754974662204404e-10,6.62568876093342e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/4,9.218553000582205e-8,9.206726993342117e-8,9.239978059401615e-8,5.141367952411942e-10,3.502566235375887e-10,7.959019328430357e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/5,9.716579225291422e-8,9.706792617325362e-8,9.730236527394636e-8,3.723439787332511e-10,2.8716985162948253e-10,5.431847381019223e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/6,1.0698712346455564e-7,1.0685934126821262e-7,1.0724998927386048e-7,5.616733623391384e-10,3.45613688270145e-10,8.705066411903583e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/7,1.1793877180603187e-7,1.1782176968429877e-7,1.1807370138254547e-7,4.2933859149045954e-10,3.516142965138556e-10,5.757588058401617e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/8,1.2879078864657297e-7,1.2866444127457084e-7,1.2895543856599232e-7,4.771885390843891e-10,3.4472962469811303e-10,7.923972303972933e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/9,1.3957926210220033e-7,1.3941780908840055e-7,1.3977660637258837e-7,5.917470114555104e-10,4.401740025369903e-10,7.84329510487675e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/10,1.5182532859573653e-7,1.5156592549610591e-7,1.525910824498588e-7,1.302676439450446e-9,6.204088413335607e-10,2.481110847730796e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.TypedOpt/ids/1,4.780419437874245e-8,4.7741263930475544e-8,4.7954489905096765e-8,2.9793300522528535e-10,1.5668875621355144e-10,5.221835312017288e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/2,5.934432665132856e-8,5.897598082722428e-8,6.099331766561836e-8,2.0841174108124745e-9,5.066038798960224e-10,4.604105244306764e-9
ids/LocallyNameless.Lazy.TypedOpt/ids/3,6.984372470608197e-8,6.977624649738408e-8,6.995045533394466e-8,2.749213004397476e-10,1.7126179566067556e-10,4.2632453574899227e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/4,9.298016115143034e-8,9.279644651029153e-8,9.32897485281605e-8,8.211394013534073e-10,5.024123024434784e-10,1.1937868472863857e-9
ids/LocallyNameless.Lazy.TypedOpt/ids/5,9.839826437041767e-8,9.833429097435521e-8,9.852671937554689e-8,2.916853575162711e-10,2.013598464048538e-10,4.763555921223341e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/6,1.0852457952901493e-7,1.0834098741370128e-7,1.0884272373783695e-7,7.89907446669464e-10,4.2358360369831884e-10,1.3920907915554752e-9
ids/LocallyNameless.Lazy.TypedOpt/ids/7,1.1853725724242885e-7,1.1838685725154323e-7,1.1898780995941232e-7,7.64723770988674e-10,2.919808268457573e-10,1.4584815300965308e-9
ids/LocallyNameless.Lazy.TypedOpt/ids/8,1.29103983039145e-7,1.2897616122661292e-7,1.2938942642157616e-7,5.943106226065751e-10,3.3302607966604325e-10,1.0580708324373067e-9
ids/LocallyNameless.Lazy.TypedOpt/ids/9,1.3932069449385203e-7,1.391795985075487e-7,1.395119799916195e-7,5.706116824198191e-10,4.4101232487975216e-10,8.916772837688649e-10
ids/LocallyNameless.Lazy.TypedOpt/ids/10,1.5097585270999065e-7,1.5084069018283075e-7,1.511285488819377e-7,4.6188717875995276e-10,3.740467183600137e-10,6.035991387517049e-10
