Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.Scoped/adjust/1,4.636241417545165e-8,4.6330060848359604e-8,4.644091096857656e-8,1.5987911606290934e-10,9.351219236067974e-11,2.8086214494806277e-10
adjust/DeBruijn.Lazy.Par.Scoped/adjust/2,1.6259908464311403e-7,1.6215347173741333e-7,1.6370570829533198e-7,2.2161244882747646e-9,1.2878287477403606e-9,4.28179551271266e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/3,4.3182988685706116e-7,4.3156270786245324e-7,4.3221288654450827e-7,1.080208321464575e-9,7.876302162693903e-10,1.4536343889504093e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/4,9.316213306332931e-7,9.311925439271583e-7,9.324328848004238e-7,1.9417917410063265e-9,1.4027657245596508e-9,3.096879894268594e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/5,1.7411020798999079e-6,1.7395954421450974e-6,1.744005188843659e-6,6.981882091116821e-9,4.122837521512141e-9,1.0581007417731374e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/6,2.998514351320228e-6,2.9962959022045116e-6,3.0021761084690415e-6,9.42526704516361e-9,6.35820630948904e-9,1.505919316858217e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/7,4.565142736406278e-6,4.549815795160691e-6,4.594162123465313e-6,6.873856972763435e-8,3.923098572938597e-8,1.0862078130837018e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/8,6.71956723325394e-6,6.714530167485417e-6,6.7284365660706626e-6,2.2214446402400276e-8,1.5627888840215166e-8,3.2456776314265514e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/9,9.40979029506164e-6,9.402586683607166e-6,9.418841300187993e-6,2.7740095713099263e-8,2.0923752541903307e-8,3.721014384479104e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/10,1.2663667620386507e-5,1.2648485546766833e-5,1.2686037873374865e-5,5.825118426280864e-8,3.804831910341007e-8,8.566300332036811e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/11,1.6464024920227388e-5,1.6451962146523673e-5,1.6489241477212247e-5,5.661925597974442e-8,2.982519962856202e-8,1.0140593386320037e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/12,2.1328585029789942e-5,2.131067372470846e-5,2.1354813430845074e-5,7.03300133356126e-8,5.11559468156898e-8,9.506041409111926e-8
